DateTime,Name,HV_SwitchingFreq_Rail1,VS_Bulk_HvDc,CS_Shunt_HVDC_R1,HV_OutPwr,VS_Vout_Sense_HVDC,MainsRMSCurrent,MainsRMSVoltage,
20250320 14:50:05,280_380V_5A_3,300,196.9,0.08,22,279.4,0,219,
20250320 14:50:06,280_380V_5A_3,300,196.1,0.08,22,279.4,0,219,
20250320 14:50:07,280_380V_5A_3,300,195.5,0.08,22,279.4,0,219,
20250320 14:50:07,280_380V_5A_3,300,195.1,0.08,22,279.4,0.1,219,
20250320 14:50:08,280_380V_5A_3,300,436.1,0.08,22,279.4,0.6,219,
20250320 14:50:08,280_380V_5A_3,300,606.4,0.08,22,279.4,0.7,219,
20250320 14:50:09,280_380V_5A_3,300,692.2,0.08,22,279.5,0.7,219,
20250320 14:50:09,280_380V_5A_3,300,685.3,0.97,1140.5,279.6,2.1,219,
20250320 14:50:10,280_380V_5A_3,300,700.5,4.99,1397.5,279.6,2.3,218.5,
20250320 14:50:11,280_380V_5A_3,300,701.1,5,1395,279.6,2.3,218.5,
20250320 14:50:11,280_380V_5A_3,300,701.5,4.99,1395,279.6,2.3,218.5,
20250320 14:50:12,280_380V_5A_3,300,700.7,5,1395,279,2.3,218.5,
20250320 14:50:12,280_380V_5A_3,300,702,4.99,1392,278.9,2.3,218.5,
20250320 14:50:13,280_380V_5A_3,300,700.8,5,1394.5,278.9,2.3,219,
20250320 14:50:13,280_380V_5A_3,300,702.2,4.99,1395,279,2.3,219,
20250320 14:50:14,280_380V_5A_3,300,702.1,5,1392.5,279.1,2.3,219,
20250320 14:50:14,280_380V_5A_3,300,701.1,5,1395.5,285.3,2.3,219,
20250320 14:50:15,280_380V_5A_3,300,686.2,5,1447,289.5,2.3,219,
20250320 14:50:16,280_380V_5A_3,300,686.7,4.99,1446.5,289.4,2.3,219,
20250320 14:50:16,280_380V_5A_3,300,686.6,4.99,1443,289.3,2.3,219,
20250320 14:50:17,280_380V_5A_3,300,687,4.99,1448.5,289.6,2.4,219,
20250320 14:50:17,280_380V_5A_3,300,686.5,5,1446,289.7,2.4,219,
20250320 14:50:18,280_380V_5A_3,300,686.3,5,1449,289.7,2.3,219,
20250320 14:50:18,280_380V_5A_3,300,686.1,5,1448.5,289.6,2.4,218.5,
20250320 14:50:19,280_380V_5A_3,300,686.5,5,1443,289,2.4,218.5,
20250320 14:50:19,280_380V_5A_3,300,686.5,4.99,1486,299.3,2.4,218.5,
20250320 14:50:20,280_380V_5A_3,300,687.5,5,1495.5,299.7,2.4,218.5,
20250320 14:50:20,280_380V_5A_3,300,686.3,5,1498.5,299.7,2.4,219,
20250320 14:50:21,280_380V_5A_3,300,687.1,4.99,1493,299.3,2.4,219,
20250320 14:50:22,280_380V_5A_3,300,687.9,5,1493,299.7,2.4,219,
20250320 14:50:22,280_380V_5A_3,300,686.8,4.99,1499.5,299.9,2.4,219,
20250320 14:50:23,280_380V_5A_3,300,687,4.99,1495.5,299.8,2.4,219,
20250320 14:50:23,280_380V_5A_3,300,686.5,4.99,1499.5,299.8,2.4,219,
20250320 14:50:24,280_380V_5A_3,300,686.3,4.99,1494,299.4,2.4,219,
20250320 14:50:24,280_380V_5A_3,300,687,4.99,1537.5,305.7,2.5,219,
20250320 14:50:25,280_380V_5A_3,300,688.4,5,1542.5,309.6,2.5,219,
20250320 14:50:25,280_380V_5A_3,300,688.1,4.99,1544.5,309.5,2.5,219,
20250320 14:50:26,280_380V_5A_3,300,687.6,4.99,1547,309.4,2.5,218.5,
20250320 14:50:26,280_380V_5A_3,300,687.8,4.99,1544.5,309.5,2.5,218.5,
20250320 14:50:27,280_380V_5A_3,300,687.9,5,1543.5,309.4,2.5,218.5,
20250320 14:50:27,280_380V_5A_3,300,687.6,5,1546.5,309.4,2.4,218.5,
20250320 14:50:28,280_380V_5A_3,300,687.4,5,1546,309.2,2.4,218.5,
20250320 14:50:28,280_380V_5A_3,300,688.1,4.99,1546,309.2,2.5,218.5,
20250320 14:50:29,280_380V_5A_3,300,687.7,4.99,1543.5,309.3,2.5,219,
20250320 14:50:29,280_380V_5A_3,261,687.1,5,1596.5,319.3,2.6,219,
20250320 14:50:30,280_380V_5A_3,260,688.2,4.99,1596.5,319.3,2.6,219,
20250320 14:50:30,280_380V_5A_3,260,687.9,5,1593.5,319.3,2.6,219,
20250320 14:50:31,280_380V_5A_3,261,687.6,4.99,1597,319.3,2.6,219,
20250320 14:50:32,280_380V_5A_3,261,687.3,4.99,1596.5,319.3,2.6,219,
20250320 14:50:32,280_380V_5A_3,262,687.9,5,1596.5,319.4,2.6,219,
20250320 14:50:33,280_380V_5A_3,260,688,4.99,1596.5,319.3,2.6,219,
20250320 14:50:33,280_380V_5A_3,262,687.6,5,1596.5,319.3,2.5,219,
20250320 14:50:33,280_380V_5A_3,261,687.2,4.99,1596.5,319.3,2.6,219,
20250320 14:50:34,280_380V_5A_3,261,688.1,5,1593,319.3,2.6,218.5,
20250320 14:50:34,280_380V_5A_3,300,715.1,5.06,1662.5,329.5,3,218.5,
20250320 14:50:35,280_380V_5A_3,300,766.4,4.99,1646,329.6,2.6,218.5,
20250320 14:50:35,280_380V_5A_3,300,767.5,5,1642.5,329.3,2.6,218.5,
20250320 14:50:36,280_380V_5A_3,300,766.9,4.99,1649,329.7,2.7,218.5,
20250320 14:50:36,280_380V_5A_3,300,766.7,4.99,1641,329.8,2.6,218.5,
20250320 14:50:37,280_380V_5A_3,300,765.9,4.99,1648.5,329.7,2.6,219,
20250320 14:50:37,280_380V_5A_3,300,766.8,4.99,1648.5,329.7,2.6,219,
20250320 14:50:38,280_380V_5A_3,300,766.9,5,1649,329.7,2.6,219,
20250320 14:50:39,280_380V_5A_3,300,765.8,4.99,1648,329.5,2.7,219,
20250320 14:50:39,280_380V_5A_3,300,765.9,5,1648,329.5,2.6,219,
20250320 14:50:40,280_380V_5A_3,300,767,4.99,1693,339.4,2.7,219,
20250320 14:50:40,280_380V_5A_3,300,767.7,5,1698.5,339.4,2.7,219,
20250320 14:50:41,280_380V_5A_3,300,766.7,5,1696,339.3,2.7,219,
20250320 14:50:42,280_380V_5A_3,300,766.2,5,1696.5,339.4,2.7,219,
20250320 14:50:42,280_380V_5A_3,300,768,4.99,1693,339.1,2.7,219,
20250320 14:50:43,280_380V_5A_3,300,765.8,4.99,1692.5,339.7,2.7,218.5,
20250320 14:50:43,280_380V_5A_3,300,767.5,5,1699,339.7,2.7,218.5,
20250320 14:50:44,280_380V_5A_3,300,767.5,4.99,1699,339.3,2.7,218.5,
20250320 14:50:44,280_380V_5A_3,300,767.7,4.99,1730,344.3,2.7,218.5,
20250320 14:50:45,280_380V_5A_3,300,767.8,5,1748,349.6,2.7,219,
20250320 14:50:45,280_380V_5A_3,300,768.7,4.99,1748,349.2,2.7,219,
20250320 14:50:46,280_380V_5A_3,300,767.9,5,1742.5,349.2,2.7,219,
20250320 14:50:46,280_380V_5A_3,300,768.2,5,1746,349.2,2.7,219,
20250320 14:50:47,280_380V_5A_3,300,766.1,5,1746,349.5,2.7,219,
20250320 14:50:48,280_380V_5A_3,300,767,5,1744,349.5,2.7,219,
20250320 14:50:48,280_380V_5A_3,300,768.1,5,1747.5,349.3,2.7,219,
20250320 14:50:49,280_380V_5A_3,300,767.6,4.99,1746,349.2,2.8,219,
20250320 14:50:49,280_380V_5A_3,300,767.4,5,1746,349.3,2.8,219,
20250320 14:50:50,280_380V_5A_3,289,768.1,5,1796.5,359.3,2.8,219,
20250320 14:50:50,280_380V_5A_3,289,767.1,4.99,1796.5,359.3,2.8,219,
20250320 14:50:51,280_380V_5A_3,288,768.6,5,1796.5,359.3,2.8,218.5,
20250320 14:50:51,280_380V_5A_3,289,768.1,5,1796.5,359.3,2.9,218.5,
20250320 14:50:52,280_380V_5A_3,290,768.1,5,1796.5,359.3,2.8,218.5,
20250320 14:50:53,280_380V_5A_3,286,766.7,4.99,1797,359.3,2.9,218.5,
20250320 14:50:53,280_380V_5A_3,290,767.5,5,1796.5,359.3,2.9,218.5,
20250320 14:50:54,280_380V_5A_3,289,767.1,4.99,1796.5,359.3,2.9,219,
20250320 14:50:54,280_380V_5A_3,289,767.9,5,1796.5,359.3,2.9,219,
20250320 14:50:55,280_380V_5A_3,203,767.9,5,1842,369.2,2.9,219,
20250320 14:50:55,280_380V_5A_3,205,767.5,5,1846,369.2,3,219,
20250320 14:50:56,280_380V_5A_3,205,766.8,4.99,1846,369.2,2.9,219,
20250320 14:50:56,280_380V_5A_3,205,768.1,4.99,1846,369.2,2.9,219,
20250320 14:50:57,280_380V_5A_3,203,767.1,4.99,1846,369.2,2.9,219,
20250320 14:50:57,280_380V_5A_3,203,767.3,5,1842,369.2,2.9,219,
20250320 14:50:58,280_380V_5A_3,207,768.3,5,1846,369.2,2.9,219,
20250320 14:50:58,280_380V_5A_3,205,768.5,4.99,1846,369.2,2.9,219,
20250320 14:50:59,280_380V_5A_3,203,768.1,5,1842,369.2,2.9,218.5,
20250320 14:50:59,280_380V_5A_3,219,772.1,5,1900,379.3,3.1,218.5,
20250320 14:51:00,280_380V_5A_3,229,778,4.99,1892,379.3,3,218.5,
20250320 14:51:00,280_380V_5A_3,229,778,5,1892.5,379.3,3,218.5,
20250320 14:51:01,280_380V_5A_3,229,778,4.99,1896.5,379.3,3.1,218.5,
20250320 14:51:02,280_380V_5A_3,229,778.8,4.99,1892.5,379.3,3,218.5,
20250320 14:51:02,280_380V_5A_3,229,777.5,5,1892.5,379.2,3,219,
20250320 14:51:03,280_380V_5A_3,229,776.9,4.99,1896.5,379.3,3,219,
20250320 14:51:03,280_380V_5A_3,229,778,4.99,1892.5,379.3,3,219,
20250320 14:51:04,280_380V_5A_3,229,778.3,5,1892.5,379.3,3,219,
20250320 14:51:04,280_380V_5A_3,229,777.9,5,1855,373.5,3,219,
20250320 14:51:05,280_380V_5A_3,241,777.9,5,1842,369.2,2.9,219,
20250320 14:51:05,280_380V_5A_3,241,777.9,5,1846,369.2,2.9,219,
20250320 14:51:06,280_380V_5A_3,241,777.2,4.99,1846,369.2,2.9,219,
20250320 14:51:06,280_380V_5A_3,240,778,5,1842,369.2,2.9,219,
20250320 14:51:07,280_380V_5A_3,242,777.3,4.99,1846,369.2,2.9,219,
