DateTime,Name,HV_SwitchingFreq_Rail1,VS_Bulk_HvDc,CS_Shunt_HVDC_R1,HV_OutPwr,VS_Vout_Sense_HVDC,MainsRMSCurrent,MainsRMSVoltage,
20250320 15:12:01,280_380V_5A_6,300,115.7,0.09,25,279.4,0,219,
20250320 15:12:03,280_380V_5A_6,300,115.3,0.09,25,279.4,0,219,
20250320 15:12:03,280_380V_5A_6,300,114.9,0.09,25,279.4,0,219,
20250320 15:12:04,280_380V_5A_6,300,116.4,0.09,25,279.4,0.5,219,
20250320 15:12:04,280_380V_5A_6,300,440.7,0.09,25,279.4,0.5,219,
20250320 15:12:05,280_380V_5A_6,300,647.7,0.09,25,279.4,0.4,219,
20250320 15:12:05,280_380V_5A_6,300,701.6,0.09,25,279.4,0.3,218.5,
20250320 15:12:06,280_380V_5A_6,300,701.4,0.09,25,279.4,1.3,218.5,
20250320 15:12:06,280_380V_5A_6,300,692.7,4.96,1388.5,279.5,2.3,218.5,
20250320 15:12:07,280_380V_5A_6,300,686.9,4.99,1396.5,279.5,2.3,218.5,
20250320 15:12:07,280_380V_5A_6,300,685.8,5,1392.5,279,2.3,219,
20250320 15:12:08,280_380V_5A_6,300,686.6,4.99,1396,279.4,2.3,219,
20250320 15:12:08,280_380V_5A_6,300,687.1,4.99,1397.5,279.5,2.3,219,
20250320 15:12:09,280_380V_5A_6,300,686.8,5,1394,279.1,2.3,219,
20250320 15:12:10,280_380V_5A_6,300,686.9,5,1395.5,279.1,2.3,219,
20250320 15:12:10,280_380V_5A_6,300,685.1,4.99,1399.5,279.5,2.3,219,
20250320 15:12:11,280_380V_5A_6,300,685.8,5,1446,289.3,2.4,219,
20250320 15:12:11,280_380V_5A_6,300,686.5,4.99,1446.5,289.6,2.3,219,
20250320 15:12:12,280_380V_5A_6,300,686.8,5,1443,289.7,2.4,219,
20250320 15:12:12,280_380V_5A_6,300,686.9,4.99,1446.5,289.3,2.3,219,
20250320 15:12:13,280_380V_5A_6,300,687.3,5,1446.5,289.7,2.3,218.5,
20250320 15:12:14,280_380V_5A_6,300,686.5,5,1449,289.7,2.4,218.5,
20250320 15:12:14,280_380V_5A_6,300,685.8,4.99,1447,289.1,2.4,218.5,
20250320 15:12:15,280_380V_5A_6,300,686.7,4.99,1442,289,2.4,218.5,
20250320 15:12:15,280_380V_5A_6,300,686.6,4.99,1445.5,289,2.3,219,
20250320 15:12:16,280_380V_5A_6,300,686.9,4.99,1495.5,299.8,2.4,219,
20250320 15:12:16,280_380V_5A_6,300,687.2,5,1495.5,299.5,2.4,219,
20250320 15:12:17,280_380V_5A_6,300,687,4.99,1498.5,299.5,2.4,219,
20250320 15:12:17,280_380V_5A_6,300,686.6,4.99,1498.5,299.5,2.4,219,
20250320 15:12:18,280_380V_5A_6,300,687.7,4.99,1499.5,299.8,2.4,219,
20250320 15:12:19,280_380V_5A_6,300,686.6,4.99,1496.5,299.4,2.4,219,
20250320 15:12:19,280_380V_5A_6,300,686.6,5,1498.5,299.6,2.4,219,
20250320 15:12:20,280_380V_5A_6,300,687,4.99,1495.5,299.5,2.4,219,
20250320 15:12:20,280_380V_5A_6,300,686.7,5,1496.5,299.3,2.4,219,
