DateTime,Name,HV_SwitchingFreq_Rail1,VS_Bulk_HvDc,CS_Shunt_HVDC_R1,HV_OutPwr,VS_Vout_Sense_HVDC,MainsRMSCurrent,MainsRMSVoltage,
20250320 09:54:11,280_380V_10A_9,223,803.6,9.99,3395,339.4,5.3,218.5,
20250320 09:54:12,280_380V_10A_9,222,803.1,10,3391.5,339.4,5.4,218.5,
20250320 09:54:12,280_380V_10A_9,223,804,9.99,3490.5,349.5,5.5,218.5,
20250320 09:54:13,280_380V_10A_9,200,803,10,3490.5,349.4,5.5,218.5,
20250320 09:54:13,280_380V_10A_9,201,803.9,9.99,3490.5,349.4,5.5,218.5,
20250320 09:54:14,280_380V_10A_9,201,803.6,9.99,3494,349.4,5.5,218.5,
20250320 09:54:14,280_380V_10A_9,200,803.1,9.99,3494,349.4,5.5,218.5,
20250320 09:54:15,280_380V_10A_9,200,802.1,10,3494,349.4,5.5,219,
20250320 09:54:15,280_380V_10A_9,201,802.4,9.99,3493,349.4,5.5,219,
20250320 09:54:16,280_380V_10A_9,201,802.5,10,3490.5,349.4,5.5,219,
20250320 09:54:16,280_380V_10A_9,202,803.8,10,3490.5,349.4,5.5,219,
20250320 09:54:17,280_380V_10A_9,202,802.6,9.99,3494,349.5,5.5,218.5,
20250320 09:54:17,280_380V_10A_9,177,802.4,9.99,3590,359.3,5.6,218.5,
20250320 09:54:18,280_380V_10A_9,178,801.5,10,3590,359.4,5.7,218.5,
20250320 09:54:18,280_380V_10A_9,179,802.2,10,3590,359.4,5.6,218.5,
20250320 09:54:19,280_380V_10A_9,179,803.8,9.99,3593,359.3,5.6,218.5,
20250320 09:54:19,280_380V_10A_9,178,804.2,10,3589,359.3,5.6,218.5,
20250320 09:54:20,280_380V_10A_9,177,802.1,10,3589,359.3,5.7,218.5,
20250320 09:54:20,280_380V_10A_9,178,803.8,10,3589,359.3,5.6,218.5,
20250320 09:54:21,280_380V_10A_9,178,804.4,10,3590,359.4,5.6,218.5,
20250320 09:54:21,280_380V_10A_9,180,802.9,9.99,3593,359.3,5.6,218.5,
20250320 09:54:22,280_380V_10A_9,180,803.2,9.99,3593,359.3,5.6,219,
20250320 09:54:22,280_380V_10A_9,179,803.4,9.99,3593,369.3,5.7,219,
20250320 09:54:23,280_380V_10A_9,168,802.8,9.99,3692,369.3,5.8,219,
20250320 09:54:23,280_380V_10A_9,168,802.2,9.99,3693,369.3,5.8,219,
20250320 09:54:23,280_380V_10A_9,168,802.2,10,3689,369.3,5.8,219,
20250320 09:54:24,280_380V_10A_9,168,803.6,10,3688,369.2,5.8,218.5,
20250320 09:54:24,280_380V_10A_9,168,803.7,10,3689,369.3,5.8,218.5,
20250320 09:54:25,280_380V_10A_9,167,802.6,10,3688,369.3,5.8,218.5,
20250320 09:54:25,280_380V_10A_9,168,802.9,9.99,3692,369.2,5.7,219,
20250320 09:54:26,280_380V_10A_9,168,803.7,9.99,3693,369.2,5.8,219,
20250320 09:54:26,280_380V_10A_9,168,803.3,9.99,3688,369.2,5.8,218.5,
20250320 09:54:27,280_380V_10A_9,168,803.1,10,3693,369.4,5.8,218.5,
20250320 09:54:27,280_380V_10A_9,176,803.1,10,3793,379.3,6,218.5,
20250320 09:54:28,280_380V_10A_9,176,802.7,10,3789,379.3,5.9,218.5,
20250320 09:54:28,280_380V_10A_9,179,802.9,9.99,3793,379.4,5.9,218.5,
20250320 09:54:29,280_380V_10A_9,178,804.2,9.99,3793,379.2,5.9,219,
20250320 09:54:29,280_380V_10A_9,179,802.1,9.99,3793,379.4,5.9,218.5,
20250320 09:54:30,280_380V_10A_9,177,803.4,10,3789,379.3,6,218.5,
20250320 09:54:30,280_380V_10A_9,178,802.4,10,3788,379.3,5.9,219,
20250320 09:54:31,280_380V_10A_9,177,803.3,9.99,3793,379.3,5.9,218.5,
20250320 09:54:31,280_380V_10A_9,178,803.6,9.99,3793,379.3,5.9,218.5,
