DateTime,Name,HV_SwitchingFreq_Rail1,VS_Bulk_HvDc,CS_Shunt_HVDC_R1,HV_OutPwr,VS_Vout_Sense_HVDC,MainsRMSCurrent,MainsRMSVoltage,
20250320 15:33:12,280_380V_5A_8,300,149.3,0.08,25,279.4,0,219,
20250320 15:33:14,280_380V_5A_8,300,148.7,0.08,22,279.4,0,219,
20250320 15:33:14,280_380V_5A_8,300,148.3,0.08,25,279.5,0,219,
20250320 15:33:15,280_380V_5A_8,300,217.3,0.09,22,279.5,0.3,219,
20250320 15:33:15,280_380V_5A_8,300,445.6,0.09,22,279.4,0.5,219,
20250320 15:33:16,280_380V_5A_8,300,652.3,0.09,25,279.4,0.4,218.5,
20250320 15:33:16,280_380V_5A_8,300,702.3,0.09,25,279.4,0.3,218.5,
20250320 15:33:17,280_380V_5A_8,300,721.2,0.09,122.5,279.3,1.1,218.5,
20250320 15:33:17,280_380V_5A_8,300,686.7,4.99,1399.5,279.8,2.2,218.5,
20250320 15:33:18,280_380V_5A_8,300,686.7,5,1397.5,279.5,2.2,219,
20250320 15:33:19,280_380V_5A_8,300,686.6,4.99,1396,279.8,2.2,219,
20250320 15:33:19,280_380V_5A_8,300,686.6,4.99,1397,279.5,2.3,219,
20250320 15:33:20,280_380V_5A_8,300,685.6,4.99,1399,279.7,2.3,219,
20250320 15:33:20,280_380V_5A_8,300,686.1,5,1399,279.8,2.3,219,
20250320 15:33:21,280_380V_5A_8,300,686.4,4.99,1399,279.8,2.2,219,
20250320 15:33:21,280_380V_5A_8,300,686.1,5,1399,279.8,2.2,219,
20250320 15:33:22,280_380V_5A_8,300,685.8,5,1449,289.8,2.3,219,
20250320 15:33:22,280_380V_5A_8,300,686,5,1448.5,289.7,2.3,219,
20250320 15:33:23,280_380V_5A_8,300,686,4.99,1449,289.3,2.3,219,
20250320 15:33:23,280_380V_5A_8,300,687,5,1446.5,289.4,2.3,218.5,
20250320 15:33:24,280_380V_5A_8,300,687,5,1443.5,289.6,2.3,218.5,
20250320 15:33:24,280_380V_5A_8,300,685.5,5,1446,289.8,2.3,218.5,
20250320 15:33:25,280_380V_5A_8,300,687,4.99,1448.5,289.5,2.3,218.5,
20250320 15:33:26,280_380V_5A_8,300,686.4,5,1447.5,289.6,2.3,218.5,
20250320 15:33:26,280_380V_5A_8,300,686.6,4.99,1447.5,289.1,2.3,219,
20250320 15:33:27,280_380V_5A_8,300,686.3,5,1496,299.3,2.4,219,
20250320 15:33:27,280_380V_5A_8,300,686.8,5,1497.5,299.2,2.4,219,
20250320 15:33:28,280_380V_5A_8,300,686.8,5,1493,299.2,2.4,219,
20250320 15:33:28,280_380V_5A_8,300,686.2,4.99,1493.5,299.8,2.4,219,
20250320 15:33:29,280_380V_5A_8,300,686.6,5,1496,299.2,2.3,219,
20250320 15:33:29,280_380V_5A_8,300,687,5,1493,299.2,2.3,219,
20250320 15:33:30,280_380V_5A_8,300,686.8,5,1496.5,299.8,2.4,219,
20250320 15:33:30,280_380V_5A_8,300,686.8,4.99,1496.5,299.8,2.3,219,
20250320 15:33:31,280_380V_5A_8,300,687.7,4.99,1497.5,299.3,2.4,219,
20250320 15:33:32,280_380V_5A_8,300,687.2,5,1496,299.3,2.3,218.5,
20250320 15:33:32,280_380V_5A_8,300,688,5,1543,309.2,2.5,218.5,
20250320 15:33:33,280_380V_5A_8,300,687.4,5,1543,309.3,2.4,218.5,
20250320 15:33:33,280_380V_5A_8,300,688.4,5,1547,309.4,2.4,218.5,
20250320 15:33:34,280_380V_5A_8,300,687.8,5,1546,309.3,2.5,219,
20250320 15:33:34,280_380V_5A_8,300,687.2,5,1543,309.2,2.5,219,
20250320 15:33:35,280_380V_5A_8,300,688,4.99,1546.5,309.3,2.5,219,
20250320 15:33:35,280_380V_5A_8,300,687.3,4.99,1543.5,309.3,2.5,219,
20250320 15:33:36,280_380V_5A_8,300,688.4,4.99,1543,309.3,2.4,219,
20250320 15:33:36,280_380V_5A_8,300,687.8,4.99,1544.5,309.6,2.4,219,
20250320 15:33:37,280_380V_5A_8,261,687.7,4.99,1596.5,319.3,2.6,219,
20250320 15:33:37,280_380V_5A_8,261,688.1,4.99,1597,319.4,2.6,219,
20250320 15:33:38,280_380V_5A_8,260,688.1,4.99,1597,319.4,2.6,219,
20250320 15:33:39,280_380V_5A_8,260,687.8,5,1596.5,319.3,2.5,219,
20250320 15:33:39,280_380V_5A_8,260,687,4.99,1596.5,319.3,2.6,218.5,
20250320 15:33:40,280_380V_5A_8,261,687.3,4.99,1593.5,319.4,2.5,218.5,
20250320 15:33:40,280_380V_5A_8,260,687.5,4.99,1597,319.4,2.6,218.5,
20250320 15:33:41,280_380V_5A_8,262,688.1,4.99,1593,319.4,2.6,218.5,
20250320 15:33:41,280_380V_5A_8,261,686.8,4.99,1593,319.3,2.6,218.5,
20250320 15:33:42,280_380V_5A_8,300,748.7,5,1646.5,328.9,2.6,219,
20250320 15:33:42,280_380V_5A_8,300,765.4,4.99,1645.5,329.1,2.6,219,
20250320 15:33:43,280_380V_5A_8,300,765.9,4.99,1645,329.8,2.6,219,
20250320 15:33:44,280_380V_5A_8,300,766.5,5,1646.5,329.3,2.6,219,
20250320 15:33:44,280_380V_5A_8,300,767.7,5,1648.5,329.8,2.6,219,
20250320 15:33:45,280_380V_5A_8,300,766.7,5,1648.5,329.6,2.6,219,
20250320 15:33:46,280_380V_5A_8,300,766.2,4.99,1643,328.9,2.6,219,
20250320 15:33:46,280_380V_5A_8,300,767.1,5,1648,329.5,2.5,219,
20250320 15:33:47,280_380V_5A_8,300,766.1,5,1695.5,339.4,2.6,218.5,
20250320 15:33:48,280_380V_5A_8,300,768,4.99,1696.5,339.4,2.6,218.5,
20250320 15:33:48,280_380V_5A_8,300,766.4,4.99,1691.5,339.1,2.6,218.5,
20250320 15:33:49,280_380V_5A_8,300,767.2,5,1691.5,339.1,2.5,218.5,
20250320 15:33:49,280_380V_5A_8,300,767.6,4.99,1699,339.8,2.6,218.5,
20250320 15:33:50,280_380V_5A_8,300,767,5,1696.5,339.3,2.6,219,
20250320 15:33:51,280_380V_5A_8,300,767.6,5,1697,339.1,2.6,219,
20250320 15:33:51,280_380V_5A_8,300,766.5,5,1694.5,339.5,2.6,219,
20250320 15:33:52,280_380V_5A_8,300,768.2,4.99,1746,349.3,2.7,219,
20250320 15:33:53,280_380V_5A_8,300,767.4,5,1745.5,349.2,2.7,219,
20250320 15:33:53,280_380V_5A_8,300,769,5,1742,349.6,2.7,218.5,
20250320 15:33:54,280_380V_5A_8,300,767.7,5,1742.5,349.3,2.7,219,
20250320 15:33:54,280_380V_5A_8,300,767.8,4.99,1748,349.3,2.7,219,
20250320 15:33:55,280_380V_5A_8,300,767.6,5,1743,349.3,2.7,219,
20250320 15:33:56,280_380V_5A_8,300,767.5,4.99,1746,349.3,2.7,218.5,
20250320 15:33:56,280_380V_5A_8,300,769.1,4.99,1747.5,349.5,2.7,218.5,
20250320 15:33:57,280_380V_5A_8,300,767.8,5,1748,349.5,2.7,218.5,
20250320 15:33:57,280_380V_5A_8,288,766.8,4.99,1796.5,359.3,2.9,218.5,
20250320 15:33:58,280_380V_5A_8,290,768.4,4.99,1796.5,359.4,2.9,219,
20250320 15:33:58,280_380V_5A_8,288,767.3,5,1796.5,359.3,2.9,219,
20250320 15:33:59,280_380V_5A_8,290,767.7,5,1796.5,359.2,2.8,219,
20250320 15:33:59,280_380V_5A_8,287,768,5,1792.5,359.3,2.8,219,
20250320 15:34:00,280_380V_5A_8,288,768.2,4.99,1796.5,359.3,2.9,219,
20250320 15:34:00,280_380V_5A_8,290,767.7,4.99,1796.5,359.3,2.9,219,
20250320 15:34:01,280_380V_5A_8,289,767.8,4.99,1796.5,359.3,2.8,219,
20250320 15:34:02,280_380V_5A_8,289,768,4.99,1796.5,359.3,2.9,219,
20250320 15:34:02,280_380V_5A_8,204,768.6,5,1842,369.1,2.9,219,
20250320 15:34:03,280_380V_5A_8,209,767.3,5,1846,369.2,2.9,219,
20250320 15:34:03,280_380V_5A_8,205,768.2,4.99,1846,369.2,2.9,219,
20250320 15:34:04,280_380V_5A_8,203,768.5,5,1842,369.2,2.9,218.5,
20250320 15:34:04,280_380V_5A_8,207,767.9,5,1846,369.3,2.9,218.5,
20250320 15:34:05,280_380V_5A_8,203,768.1,4.99,1846,369.3,2.9,218.5,
20250320 15:34:05,280_380V_5A_8,203,768.4,5,1842,369.2,2.9,218.5,
20250320 15:34:06,280_380V_5A_8,204,768.5,5,1846,369.3,2.9,218.5,
20250320 15:34:07,280_380V_5A_8,205,767.9,4.99,1846.5,369.3,2.9,219,
20250320 15:34:07,280_380V_5A_8,229,777.4,5,1892.5,379.3,3,219,
20250320 15:34:08,280_380V_5A_8,229,778.9,5,1892.5,379.3,3,219,
20250320 15:34:08,280_380V_5A_8,229,778.5,4.99,1896.5,379.3,3,219,
20250320 15:34:09,280_380V_5A_8,230,777.1,5,1896.5,379.3,3,218.5,
20250320 15:34:09,280_380V_5A_8,230,777.5,4.99,1896.5,379.3,3,219,
20250320 15:34:10,280_380V_5A_8,229,778.2,4.99,1892,379.3,3,219,
20250320 15:34:11,280_380V_5A_8,229,776.8,5,1892.5,379.2,3,219,
20250320 15:34:11,280_380V_5A_8,229,777.9,4.99,1896.5,379.3,3,219,
20250320 15:34:12,280_380V_5A_8,229,777.7,4.99,1892,379.3,3,219,
20250320 15:34:12,280_380V_5A_8,241,777.7,5,1842,369.2,2.9,218.5,
20250320 15:34:13,280_380V_5A_8,241,778.8,5,1846,369.2,2.9,218.5,
20250320 15:34:13,280_380V_5A_8,241,778.1,5,1842,369.2,2.9,218.5,
20250320 15:34:14,280_380V_5A_8,241,777.4,5,1846,369.2,2.9,218.5,
20250320 15:34:15,280_380V_5A_8,241,778.1,4.99,1846,369.2,2.9,219,
20250320 15:34:15,280_380V_5A_8,241,778.1,4.99,1846,369.2,2.9,219,
20250320 15:34:16,280_380V_5A_8,241,777.9,4.99,1846,369.2,2.9,219,
20250320 15:34:16,280_380V_5A_8,241,778,5,1842,369.2,2.9,219,
20250320 15:34:17,280_380V_5A_8,300,779.1,5,1792,359.1,2.8,219,
20250320 15:34:17,280_380V_5A_8,288,768,4.99,1792.5,359.3,2.9,219,
20250320 15:34:18,280_380V_5A_8,288,767.7,4.99,1796.5,359.3,2.9,219,
20250320 15:34:18,280_380V_5A_8,288,767.6,5,1792.5,359.3,2.9,219,
20250320 15:34:19,280_380V_5A_8,289,767.3,4.99,1792.5,359.3,2.9,219,
20250320 15:34:20,280_380V_5A_8,287,768.5,5,1796.5,359.3,2.9,219,
20250320 15:34:20,280_380V_5A_8,289,768.3,5,1796.5,359.3,2.9,218.5,
20250320 15:34:21,280_380V_5A_8,290,767.6,5,1796.5,359.3,2.8,218.5,
20250320 15:34:21,280_380V_5A_8,290,768.9,5,1796.5,359.3,2.8,218.5,
20250320 15:34:22,280_380V_5A_8,300,768.2,5,1745.5,349.1,2.7,218.5,
20250320 15:34:23,280_380V_5A_8,300,767.3,5,1745.5,349,2.7,218.5,
20250320 15:34:23,280_380V_5A_8,300,768.4,5,1748.5,349.7,2.7,219,
20250320 15:34:24,280_380V_5A_8,300,768.2,5,1745,349.6,2.7,219,
20250320 15:34:24,280_380V_5A_8,300,768,4.99,1748.5,349.7,2.7,219,
20250320 15:34:25,280_380V_5A_8,300,767.3,5,1748.5,349.2,2.7,219,
20250320 15:34:25,280_380V_5A_8,300,768,5,1745,349.2,2.7,219,
20250320 15:34:26,280_380V_5A_8,300,768.6,5,1742,349.2,2.7,219,
20250320 15:34:26,280_380V_5A_8,300,768.4,4.99,1748,349.6,2.7,219,
20250320 15:34:27,280_380V_5A_8,300,766.4,5,1701.5,339.4,2.6,219,
20250320 15:34:28,280_380V_5A_8,300,767.5,4.99,1696,339.3,2.6,219,
20250320 15:34:28,280_380V_5A_8,300,768,5,1693,339.6,2.6,219,
20250320 15:34:29,280_380V_5A_8,300,767.7,5,1698.5,339.6,2.6,218.5,
20250320 15:34:29,280_380V_5A_8,300,766.9,5,1698.5,339.6,2.6,218.5,
20250320 15:34:30,280_380V_5A_8,300,767.3,5,1696.5,339.4,2.6,218.5,
20250320 15:34:30,280_380V_5A_8,300,766.8,5,1696.5,339.1,2.6,218.5,
20250320 15:34:31,280_380V_5A_8,300,768,4.99,1691.5,339,2.6,218.5,
20250320 15:34:32,280_380V_5A_8,300,767.7,5,1696,339.2,2.6,219,
20250320 15:34:32,280_380V_5A_8,300,767.6,5,1646,329.6,2.5,219,
20250320 15:34:33,280_380V_5A_8,300,767.5,5,1649,329.3,2.5,219,
20250320 15:34:33,280_380V_5A_8,300,767.2,4.99,1647.5,329.6,2.5,219,
20250320 15:34:34,280_380V_5A_8,300,766.3,5,1646,329.3,2.5,219,
20250320 15:34:35,280_380V_5A_8,300,767.4,5,1649,329.2,2.5,219,
20250320 15:34:35,280_380V_5A_8,300,768,5,1646,328.9,2.5,219,
20250320 15:34:36,280_380V_5A_8,300,767.7,5,1648.5,329.7,2.5,219,
20250320 15:34:36,280_380V_5A_8,300,768,4.99,1642.5,329.3,2.5,219,
20250320 15:34:37,280_380V_5A_8,300,767.9,5,1591.5,319,2.4,219,
20250320 15:34:37,280_380V_5A_8,300,767.3,5,1591.5,319.6,2.4,218.5,
20250320 15:34:38,280_380V_5A_8,300,767.7,4.99,1599,319.3,2.4,218.5,
20250320 15:34:39,280_380V_5A_8,300,766.7,4.99,1592.5,319.2,2.5,218.5,
20250320 15:34:39,280_380V_5A_8,300,767.8,5,1598,319.7,2.4,218.5,
20250320 15:34:40,280_380V_5A_8,300,767.5,5,1595.5,319.2,2.4,218.5,
20250320 15:34:40,280_380V_5A_8,300,768.3,4.99,1595.5,318.9,2.4,219,
20250320 15:34:41,280_380V_5A_8,300,768.5,4.99,1594.5,319.7,2.4,219,
20250320 15:34:41,280_380V_5A_8,300,767.9,5,1598,319.4,2.4,219,
20250320 15:34:42,280_380V_5A_8,300,742.3,4.99,1543.5,309.4,2.3,219,
20250320 15:34:42,280_380V_5A_8,300,687.8,4.99,1546,309.3,2.5,219,
20250320 15:34:43,280_380V_5A_8,300,687.9,4.99,1544.5,309.3,2.5,219,
20250320 15:34:44,280_380V_5A_8,300,688.8,5,1546.5,309.3,2.5,219,
20250320 15:34:44,280_380V_5A_8,300,687.9,5,1546,309.2,2.5,219,
20250320 15:34:45,280_380V_5A_8,300,688.1,5,1546.5,309.6,2.5,219,
20250320 15:34:45,280_380V_5A_8,300,688.1,4.99,1548,309.6,2.4,219,
20250320 15:34:46,280_380V_5A_8,300,688,5,1546,309.3,2.5,219,
20250320 15:34:46,280_380V_5A_8,300,688.6,4.99,1543,309.4,2.5,218.5,
20250320 15:34:47,280_380V_5A_8,300,687.7,4.99,1499,299.8,2.3,218.5,
20250320 15:34:48,280_380V_5A_8,300,687.6,5,1499,299.8,2.3,218.5,
20250320 15:34:48,280_380V_5A_8,300,687.7,5,1497,299.1,2.3,218.5,
20250320 15:34:49,280_380V_5A_8,300,687.8,5,1494,299.5,2.3,218.5,
20250320 15:34:49,280_380V_5A_8,300,687.9,5,1493,299.9,2.3,219,
20250320 15:34:50,280_380V_5A_8,300,688.1,5,1499,299.8,2.3,219,
20250320 15:34:51,280_380V_5A_8,300,686.6,5,1497,299.5,2.3,219,
20250320 15:34:51,280_380V_5A_8,300,687.8,5,1497,299.5,2.3,219,
20250320 15:34:52,280_380V_5A_8,300,688.1,4.99,1445,289.1,2.2,219,
