DateTime,Name,HV_SwitchingFreq_Rail1,VS_Bulk_HvDc,CS_Shunt_HVDC_R1,HV_OutPwr,VS_Vout_Sense_HVDC,MainsRMSCurrent,MainsRMSVoltage,
20250320 09:10:52,280_380V_10A_4,300,1.8,0.09,25,279.4,0,219,
20250320 09:10:54,280_380V_10A_4,300,2,0.09,25,279.4,0,219,
20250320 09:10:55,280_380V_10A_4,300,2,0.09,25,279.4,0,219,
20250320 09:10:55,280_380V_10A_4,300,19,0.09,25,279.4,0.4,219,
20250320 09:10:56,280_380V_10A_4,300,435.7,0.09,25,279.4,0.5,219,
20250320 09:10:56,280_380V_10A_4,300,605.7,0.09,25,279.4,0.5,219,
20250320 09:10:57,280_380V_10A_4,300,697.2,0.09,25,279.4,0.4,219,
20250320 09:10:57,280_380V_10A_4,300,701.1,0.09,25,279.5,1.5,219,
20250320 09:10:57,280_380V_10A_4,300,697.5,4.39,1264,279.6,2.3,219,
20250320 09:10:58,280_380V_10A_4,235,700.9,9.88,2767,279.5,4.5,218.5,
20250320 09:10:58,280_380V_10A_4,232,702,9.99,2796,279.5,4.4,218.5,
20250320 09:10:59,280_380V_10A_4,233,702.5,9.99,2795,279.5,4.5,218.5,
20250320 09:10:59,280_380V_10A_4,231,703.1,10,2792,279.5,4.4,218.5,
20250320 09:11:00,280_380V_10A_4,231,702.5,10,2792,279.6,4.4,218.5,
20250320 09:11:00,280_380V_10A_4,232,702.9,10,2792,279.5,4.4,218.5,
20250320 09:11:01,280_380V_10A_4,232,702.1,10,2792,279.5,4.4,218.5,
20250320 09:11:01,280_380V_10A_4,232,702.6,9.99,2795,279.5,4.4,218.5,
20250320 09:11:02,280_380V_10A_4,232,702.7,9.99,2795,279.5,4.4,219,
20250320 09:11:02,280_380V_10A_4,212,702,9.99,2892,289.5,4.5,219,
20250320 09:11:03,280_380V_10A_4,197,688,10,2892,289.5,4.6,219,
20250320 09:11:03,280_380V_10A_4,197,688.7,9.99,2892,289.5,4.6,219,
20250320 09:11:04,280_380V_10A_4,197,687.9,10,2892,289.5,4.6,218.5,
20250320 09:11:04,280_380V_10A_4,197,687.6,10,2892,289.5,4.5,218.5,
20250320 09:11:05,280_380V_10A_4,198,687.5,10,2892,289.5,4.6,218.5,
20250320 09:11:05,280_380V_10A_4,198,688.2,9.99,2895,289.5,4.5,218.5,
20250320 09:11:06,280_380V_10A_4,197,687.6,10,2892,289.5,4.5,218.5,
20250320 09:11:07,280_380V_10A_4,197,687.4,10,2895,289.5,4.6,219,
