DateTime,Name,HV_SwitchingFreq_Rail1,VS_Bulk_HvDc,CS_Shunt_HVDC_R1,HV_OutPwr,VS_Vout_Sense_HVDC,MainsRMSCurrent,MainsRMSVoltage,
20250320 09:18:04,280_380V_10A_5,300,101,0.09,25,279.4,0,218.5,
20250320 09:18:05,280_380V_10A_5,300,100.6,0.09,25,279.4,0,219,
20250320 09:18:06,280_380V_10A_5,300,216.5,0.09,25,279.4,0,219,
20250320 09:18:06,280_380V_10A_5,300,526.8,0.09,25,279.4,0.4,219,
20250320 09:18:07,280_380V_10A_5,300,673.1,0.09,25,279.4,0.5,219,
20250320 09:18:07,280_380V_10A_5,300,700.7,0.09,25,279.4,0.5,219,
20250320 09:18:08,280_380V_10A_5,300,700.8,0.09,25,279.4,0,219,
20250320 09:18:08,280_380V_10A_5,300,685.6,5.13,1478.5,279.5,2.6,218.5,
20250320 09:18:09,280_380V_10A_5,216,687,9.99,2795,279.5,4.4,218.5,
20250320 09:18:09,280_380V_10A_5,216,687.4,9.99,2793,279.6,4.4,218.5,
20250320 09:18:10,280_380V_10A_5,217,687.7,9.99,2796,279.6,4.4,218.5,
20250320 09:18:10,280_380V_10A_5,216,687.6,10,2792,279.6,4.4,218.5,
20250320 09:18:10,280_380V_10A_5,216,687.6,10,2792,279.5,4.4,218.5,
20250320 09:18:11,280_380V_10A_5,216,687.9,10,2796,279.6,4.4,219,
20250320 09:18:11,280_380V_10A_5,217,687.4,10,2795,279.6,4.4,219,
20250320 09:18:12,280_380V_10A_5,217,687.8,9.99,2793,279.6,4.4,218.5,
20250320 09:18:12,280_380V_10A_5,216,687.6,9.99,2795,279.6,4.4,219,
20250320 09:18:13,280_380V_10A_5,197,687.3,10,2892,289.6,4.6,218.5,
20250320 09:18:13,280_380V_10A_5,198,687.3,10,2892,289.5,4.6,218.5,
20250320 09:18:14,280_380V_10A_5,198,687.9,9.99,2895,289.5,4.6,218.5,
20250320 09:18:14,280_380V_10A_5,199,687.7,9.99,2895,289.5,4.6,218.5,
20250320 09:18:15,280_380V_10A_5,197,688,9.99,2893,289.5,4.5,218.5,
20250320 09:18:15,280_380V_10A_5,197,687.8,10,2892,289.5,4.6,218.5,
20250320 09:18:16,280_380V_10A_5,198,687.8,10,2896,289.6,4.6,218.5,
20250320 09:18:16,280_380V_10A_5,197,687.4,9.99,2895,289.5,4.6,219,
20250320 09:18:17,280_380V_10A_5,197,687.7,10,2892,289.5,4.6,219,
20250320 09:18:17,280_380V_10A_5,196,688,10,2892,289.5,4.6,219,
20250320 09:18:18,280_380V_10A_5,177,687.3,10,2993,299.6,4.7,219,
20250320 09:18:18,280_380V_10A_5,177,687.2,10,2992,299.5,4.7,219,
20250320 09:18:19,280_380V_10A_5,178,687.3,9.99,2996,299.6,4.7,218.5,
20250320 09:18:19,280_380V_10A_5,179,687.4,9.99,2995,299.5,4.7,218.5,
20250320 09:18:20,280_380V_10A_5,177,687.8,9.99,2993,299.6,4.7,218.5,
20250320 09:18:20,280_380V_10A_5,177,687.1,10,2992,299.5,4.7,218.5,
20250320 09:18:21,280_380V_10A_5,178,687.2,10,2993,299.5,4.7,218.5,
20250320 09:18:21,280_380V_10A_5,177,688.3,10,2992,299.5,4.7,218.5,
20250320 09:18:22,280_380V_10A_5,179,686.8,10,2993,299.6,4.7,218.5,
20250320 09:18:22,280_380V_10A_5,178,687.9,9.99,2995,299.5,4.7,218.5,
20250320 09:18:23,280_380V_10A_5,178,687.1,9.99,3095,309.5,4.9,218.5,
20250320 09:18:23,280_380V_10A_5,158,688,9.99,3095,309.5,4.9,218.5,
20250320 09:18:24,280_380V_10A_5,157,687.8,9.99,3095,309.5,4.9,219,
20250320 09:18:24,280_380V_10A_5,155,688.1,9.99,3091.5,309.5,4.9,218.5,
20250320 09:18:25,280_380V_10A_5,156,687.8,10,3091.5,309.4,4.9,218.5,
20250320 09:18:25,280_380V_10A_5,158,687.4,10,3095,309.5,4.9,218.5,
20250320 09:18:26,280_380V_10A_5,156,687,10,3091.5,309.5,4.8,218.5,
20250320 09:18:27,280_380V_10A_5,156,687.8,10,3091.5,309.5,4.9,218.5,
20250320 09:18:27,280_380V_10A_5,156,687.9,10,3091.5,309.5,4.8,218.5,
20250320 09:18:27,280_380V_10A_5,156,686.9,10,3091.5,309.5,4.8,218.5,
20250320 09:18:28,280_380V_10A_5,253,792.8,10,3194,319.4,5.1,218.5,
20250320 09:18:28,280_380V_10A_5,262,801.1,9.99,3194,319.3,5.1,219,
20250320 09:18:29,280_380V_10A_5,261,801,10,3190.5,319.4,5,219,
20250320 09:18:29,280_380V_10A_5,261,801.6,10,3194,319.4,5,218.5,
20250320 09:18:30,280_380V_10A_5,261,801.4,9.99,3194,319.4,5,218.5,
20250320 09:18:30,280_380V_10A_5,261,801.8,9.99,3194,319.4,5,218.5,
20250320 09:18:31,280_380V_10A_5,261,801.5,10,3190.5,319.4,5.1,218.5,
20250320 09:18:31,280_380V_10A_5,261,801.1,10,3194,319.4,5,218.5,
20250320 09:18:32,280_380V_10A_5,261,801.1,10,3190.5,319.3,5.1,218.5,
20250320 09:18:32,280_380V_10A_5,261,802.3,10,3194,319.4,5,218.5,
20250320 09:18:33,280_380V_10A_5,242,803.2,10,3290.5,329.4,5.2,218.5,
