DateTime,Name,HV_SwitchingFreq_Rail1,VS_Bulk_HvDc,CS_Shunt_HVDC_R1,HV_OutPwr,VS_Vout_Sense_HVDC,MainsRMSCurrent,MainsRMSVoltage,
20250320 10:30:25,280_380V_10A_13,300,17.3,0.08,22,279.4,0,218.5,
20250320 10:30:27,280_380V_10A_13,300,17.3,0.08,22,279.4,0,218.5,
20250320 10:30:27,280_380V_10A_13,300,17.3,0.08,22,279.4,0,218.5,
20250320 10:30:28,280_380V_10A_13,300,17.2,0.08,25,279.4,1.3,219,
20250320 10:30:28,280_380V_10A_13,300,456.9,0.08,22,279.4,0.4,219,
20250320 10:30:29,280_380V_10A_13,300,633.4,0.08,22,279.4,0.6,219,
20250320 10:30:29,280_380V_10A_13,300,699.5,0.08,22,279.4,0.6,219,
20250320 10:30:30,280_380V_10A_13,300,701.7,0.08,22,279.4,1.5,219,
20250320 10:30:30,280_380V_10A_13,300,696.3,5.57,1600.5,279.4,2.8,218.5,
20250320 10:30:31,280_380V_10A_13,233,702.2,9.99,2795,279.5,4.4,218.5,
20250320 10:30:31,280_380V_10A_13,231,701.6,10,2792,279.5,4.4,218.5,
20250320 10:30:32,280_380V_10A_13,232,702.9,9.99,2795,279.5,4.4,218.5,
20250320 10:30:32,280_380V_10A_13,232,703.1,9.99,2795,279.5,4.4,218.5,
20250320 10:30:33,280_380V_10A_13,231,701.9,10,2793,279.5,4.4,218.5,
20250320 10:30:33,280_380V_10A_13,231,703.2,10,2792,279.5,4.4,218.5,
20250320 10:30:34,280_380V_10A_13,231,702.9,10,2793,279.6,4.4,218.5,
20250320 10:30:34,280_380V_10A_13,231,702.8,10,2792,279.5,4.4,218.5,
20250320 10:30:35,280_380V_10A_13,213,700.7,9.99,2892,289.5,4.5,219,
20250320 10:30:35,280_380V_10A_13,197,687.6,10,2892,289.5,4.5,219,
20250320 10:30:36,280_380V_10A_13,197,687.5,10,2892,289.4,4.6,219,
20250320 10:30:36,280_380V_10A_13,197,688.1,10,2891,289.5,4.6,219,
20250320 10:30:37,280_380V_10A_13,197,687.6,10,2892,289.5,4.6,219,
20250320 10:30:37,280_380V_10A_13,197,688.1,10,2892,289.5,4.6,218.5,
20250320 10:30:38,280_380V_10A_13,199,687.3,9.99,2895,289.5,4.5,218.5,
20250320 10:30:38,280_380V_10A_13,198,687.8,9.99,2895,289.5,4.6,218.5,
20250320 10:30:39,280_380V_10A_13,197,688.2,10,2892,289.5,4.6,218.5,
20250320 10:30:39,280_380V_10A_13,197,688,10,2892,289.5,4.6,218.5,
20250320 10:30:40,280_380V_10A_13,177,686.2,9.99,2996,299.6,4.7,218.5,
20250320 10:30:40,280_380V_10A_13,178,687.3,9.99,2996,299.5,4.7,218.5,
20250320 10:30:41,280_380V_10A_13,177,687.6,10,2992,299.5,4.7,218.5,
20250320 10:30:41,280_380V_10A_13,179,687.2,9.99,2995,299.5,4.7,218.5,
20250320 10:30:42,280_380V_10A_13,179,687.6,9.99,2996,299.6,4.7,218.5,
20250320 10:30:42,280_380V_10A_13,177,688.1,10,2992,299.5,4.7,219,
20250320 10:30:43,280_380V_10A_13,178,687.9,10,2992,299.5,4.7,219,
20250320 10:30:44,280_380V_10A_13,178,687.6,10,2995,299.6,4.7,219,
20250320 10:30:44,280_380V_10A_13,177,687.8,10,2993,299.5,4.7,219,
20250320 10:30:45,280_380V_10A_13,179,686,9.98,3091.5,309.5,4.9,218.5,
20250320 10:30:45,280_380V_10A_13,158,687.1,9.99,3095,309.5,4.8,218.5,
20250320 10:30:46,280_380V_10A_13,156,687.1,10,3091.5,309.5,4.8,218.5,
20250320 10:30:46,280_380V_10A_13,156,687.2,10,3095,309.5,4.8,218.5,
20250320 10:30:47,280_380V_10A_13,158,687.6,9.99,3095,309.5,4.8,218.5,
20250320 10:30:47,280_380V_10A_13,156,687.9,10,3091.5,309.5,4.9,218.5,
20250320 10:30:48,280_380V_10A_13,157,687,9.99,3095,309.5,4.8,218.5,
20250320 10:30:49,280_380V_10A_13,157,688.6,9.99,3095,309.5,4.8,218.5,
20250320 10:30:49,280_380V_10A_13,157,687.4,10,3091.5,309.5,4.8,218.5,
20250320 10:30:50,280_380V_10A_13,158,687.7,9.98,3189.5,319.4,4.9,219,
20250320 10:30:50,280_380V_10A_13,258,796.8,10,3193,319.3,5.1,219,
20250320 10:30:51,280_380V_10A_13,261,801.5,10,3194,319.5,5,219,
20250320 10:30:51,280_380V_10A_13,262,801.2,10,3193,319.4,5,219,
20250320 10:30:52,280_380V_10A_13,261,801.9,10,3194,319.3,5,219,
20250320 10:30:52,280_380V_10A_13,261,802.8,9.99,3194,319.4,5,218.5,
20250320 10:30:53,280_380V_10A_13,261,801.3,10,3194,319.4,5,218.5,
20250320 10:30:53,280_380V_10A_13,261,801.2,10,3193,319.4,5,218.5,
20250320 10:30:54,280_380V_10A_13,261,801.8,10,3194,319.4,5,218.5,
20250320 10:30:54,280_380V_10A_13,262,801.7,10,3194,319.4,5,218.5,
20250320 10:30:55,280_380V_10A_13,244,803.2,10,3293,329.4,5.1,218.5,
20250320 10:30:56,280_380V_10A_13,243,803.8,10,3294,329.4,5.2,218.5,
20250320 10:30:56,280_380V_10A_13,244,803.2,9.99,3293,329.4,5.2,218.5,
20250320 10:30:57,280_380V_10A_13,243,803.1,10,3290.5,329.4,5.1,218.5,
20250320 10:30:57,280_380V_10A_13,243,803.7,10,3294,329.4,5.2,219,
20250320 10:30:58,280_380V_10A_13,244,803.2,9.99,3294,329.4,5.2,219,
20250320 10:30:59,280_380V_10A_13,242,803.1,10,3289.5,329.3,5.1,219,
20250320 10:30:59,280_380V_10A_13,244,802.8,9.99,3293,329.4,5.2,219,
20250320 10:31:00,280_380V_10A_13,223,801.6,9.99,3394,339.4,5.4,218.5,
20250320 10:31:00,280_380V_10A_13,223,802.9,9.99,3395,339.5,5.3,218.5,
20250320 10:31:01,280_380V_10A_13,221,802.9,10,3390.5,339.4,5.3,218.5,
20250320 10:31:01,280_380V_10A_13,222,804.1,10,3391.5,339.5,5.3,218.5,
20250320 10:31:02,280_380V_10A_13,224,801.5,9.99,3395,339.5,5.3,218.5,
20250320 10:31:02,280_380V_10A_13,222,803.2,10,3390.5,339.4,5.3,218.5,
20250320 10:31:03,280_380V_10A_13,224,802.5,9.99,3390.5,339.4,5.3,218.5,
20250320 10:31:03,280_380V_10A_13,224,802.7,9.99,3394,339.5,5.3,218.5,
20250320 10:31:04,280_380V_10A_13,222,803.7,10,3391.5,339.4,5.3,218.5,
20250320 10:31:05,280_380V_10A_13,223,802.6,9.99,3394,349.3,5.3,218.5,
20250320 10:31:05,280_380V_10A_13,200,803.2,10,3490.5,349.4,5.5,219,
20250320 10:31:06,280_380V_10A_13,202,802,10,3494,349.4,5.5,219,
20250320 10:31:06,280_380V_10A_13,202,804,9.99,3494,349.4,5.5,219,
20250320 10:31:07,280_380V_10A_13,201,803.6,10,3490.5,349.4,5.5,219,
20250320 10:31:07,280_380V_10A_13,202,803.6,9.99,3494,349.4,5.5,218.5,
20250320 10:31:08,280_380V_10A_13,200,803,9.99,3494,349.4,5.5,218.5,
20250320 10:31:08,280_380V_10A_13,200,803.5,10,3490.5,349.4,5.4,218.5,
20250320 10:31:09,280_380V_10A_13,201,803.8,10,3490.5,349.4,5.4,218.5,
20250320 10:31:09,280_380V_10A_13,202,802.1,9.99,3494,349.4,5.4,218.5,
20250320 10:31:10,280_380V_10A_13,180,801.7,9.99,3593,359.3,5.6,218.5,
20250320 10:31:11,280_380V_10A_13,178,801.9,9.99,3589,359.3,5.6,218.5,
20250320 10:31:11,280_380V_10A_13,180,803.2,9.99,3593,359.3,5.6,218.5,
20250320 10:31:12,280_380V_10A_13,180,803.4,10,3589,359.4,5.6,218.5,
20250320 10:31:13,280_380V_10A_13,180,802.9,9.99,3593,359.3,5.6,219,
20250320 10:31:13,280_380V_10A_13,179,802.5,9.99,3589,359.3,5.6,219,
20250320 10:31:14,280_380V_10A_13,178,802.2,10,3590,359.4,5.6,219,
20250320 10:31:14,280_380V_10A_13,179,803.4,9.99,3594,359.4,5.6,219,
20250320 10:31:15,280_380V_10A_13,168,804.1,9.99,3693,369.2,5.8,219,
20250320 10:31:15,280_380V_10A_13,167,802.7,10,3689,369.2,5.8,218.5,
20250320 10:31:16,280_380V_10A_13,168,803.3,10,3689,369.2,5.8,218.5,
20250320 10:31:16,280_380V_10A_13,168,803.6,9.99,3692,369.2,5.8,218.5,
20250320 10:31:17,280_380V_10A_13,168,802.7,9.99,3692,369.2,5.8,218.5,
20250320 10:31:17,280_380V_10A_13,168,803.5,9.99,3692,369.3,5.8,218.5,
20250320 10:31:18,280_380V_10A_13,168,803.3,9.99,3689,369.3,5.8,218.5,
20250320 10:31:18,280_380V_10A_13,168,802.6,10,3688,369.3,5.7,218.5,
20250320 10:31:19,280_380V_10A_13,167,801.8,10,3689,369.3,5.8,218.5,
20250320 10:31:19,280_380V_10A_13,168,802.3,10,3689,369.3,5.7,218.5,
20250320 10:31:20,280_380V_10A_13,178,801.6,9.99,3794,379.4,5.9,218.5,
20250320 10:31:20,280_380V_10A_13,180,802.1,9.99,3795,379.4,5.9,218.5,
20250320 10:31:21,280_380V_10A_13,179,803.4,9.99,3793,379.2,5.9,219,
20250320 10:31:21,280_380V_10A_13,178,802.9,9.99,3793,379.3,5.9,219,
20250320 10:31:22,280_380V_10A_13,177,802.7,10,3789,379.3,5.9,219,
20250320 10:31:22,280_380V_10A_13,178,802.9,9.99,3793,379.3,5.9,219,
20250320 10:31:23,280_380V_10A_13,179,802.6,9.99,3793,379.3,5.9,219,
20250320 10:31:23,280_380V_10A_13,176,803.2,10,3789,379.3,5.9,218.5,
20250320 10:31:24,280_380V_10A_13,179,803.6,10,3793,379.4,5.9,218.5,
20250320 10:31:24,280_380V_10A_13,178,803.8,9.99,3793,379.4,5.9,218.5,
20250320 10:31:25,280_380V_10A_13,168,803.5,10,3688,369.2,5.8,218.5,
20250320 10:31:25,280_380V_10A_13,167,802.3,10,3688,369.2,5.8,218.5,
20250320 10:31:26,280_380V_10A_13,168,802.5,9.99,3692,369.3,5.8,218.5,
20250320 10:31:26,280_380V_10A_13,167,802.8,9.99,3689,369.3,5.7,218.5,
20250320 10:31:27,280_380V_10A_13,168,802.4,10,3689,369.3,5.8,218.5,
20250320 10:31:28,280_380V_10A_13,168,803.1,9.99,3692,369.2,5.7,218.5,
20250320 10:31:28,280_380V_10A_13,168,803,10,3689,369.3,5.8,218.5,
20250320 10:31:29,280_380V_10A_13,168,803.4,10,3689,369.3,5.8,218.5,
20250320 10:31:29,280_380V_10A_13,167,803.5,9.99,3693,369.3,5.7,218.5,
20250320 10:31:30,280_380V_10A_13,180,802.7,9.99,3593,359.3,5.6,218.5,
20250320 10:31:30,280_380V_10A_13,179,803.1,10,3589,359.4,5.6,218.5,
20250320 10:31:31,280_380V_10A_13,180,803.5,9.99,3593,359.3,5.6,218.5,
20250320 10:31:31,280_380V_10A_13,177,802.6,9.99,3593,359.3,5.6,218.5,
20250320 10:31:32,280_380V_10A_13,179,801.8,10,3590,359.4,5.6,218.5,
20250320 10:31:33,280_380V_10A_13,178,802.7,10,3589,359.3,5.6,218.5,
20250320 10:31:33,280_380V_10A_13,179,802.3,9.99,3593,359.4,5.6,218.5,
20250320 10:31:34,280_380V_10A_13,178,802.5,10,3589,359.3,5.6,218.5,
20250320 10:31:35,280_380V_10A_13,179,803.5,10,3589,359.4,5.6,218.5,
20250320 10:31:35,280_380V_10A_13,202,802.2,9.99,3494,349.4,5.5,218.5,
20250320 10:31:36,280_380V_10A_13,199,803.3,10,3490.5,349.4,5.5,218.5,
20250320 10:31:36,280_380V_10A_13,200,804.3,10,3490.5,349.4,5.5,218.5,
20250320 10:31:37,280_380V_10A_13,202,803.2,9.99,3494,349.4,5.5,219,
20250320 10:31:37,280_380V_10A_13,200,803.9,10,3490.5,349.3,5.4,219,
20250320 10:31:38,280_380V_10A_13,201,803.4,10,3494,349.4,5.5,218.5,
20250320 10:31:38,280_380V_10A_13,202,802.9,9.99,3494,349.4,5.5,219,
20250320 10:31:39,280_380V_10A_13,199,803.3,10,3490.5,349.4,5.5,219,
20250320 10:31:39,280_380V_10A_13,200,802.2,10,3490.5,349.4,5.5,218.5,
20250320 10:31:40,280_380V_10A_13,201,803.5,10.01,3394,339.5,5.3,218.5,
20250320 10:31:40,280_380V_10A_13,223,802.3,9.99,3394,339.4,5.3,218.5,
20250320 10:31:41,280_380V_10A_13,223,802.4,9.99,3390.5,339.4,5.3,218.5,
20250320 10:31:41,280_380V_10A_13,222,804,10,3390.5,339.4,5.3,218.5,
20250320 10:31:42,280_380V_10A_13,222,802.7,10,3391.5,339.4,5.3,218.5,
20250320 10:31:42,280_380V_10A_13,223,802.5,10,3390.5,339.4,5.3,218.5,
20250320 10:31:43,280_380V_10A_13,222,802.8,10,3394,339.5,5.3,218.5,
20250320 10:31:43,280_380V_10A_13,221,803,10,3390.5,339.4,5.3,218.5,
20250320 10:31:44,280_380V_10A_13,222,802.4,9.99,3395,339.4,5.3,218.5,
20250320 10:31:44,280_380V_10A_13,222,802.7,10,3395,339.4,5.3,218.5,
20250320 10:31:45,280_380V_10A_13,243,803,10,3289.5,329.4,5.2,218.5,
20250320 10:31:45,280_380V_10A_13,245,803.3,9.99,3294,329.4,5.2,218.5,
20250320 10:31:46,280_380V_10A_13,242,802.5,10,3289.5,329.3,5.2,219,
20250320 10:31:47,280_380V_10A_13,244,802,10,3289.5,329.4,5.1,218.5,
20250320 10:31:47,280_380V_10A_13,244,803.5,10,3294,329.4,5.2,218.5,
20250320 10:31:48,280_380V_10A_13,245,803.1,9.99,3294,329.4,5.2,218.5,
20250320 10:31:48,280_380V_10A_13,243,803.1,10,3290.5,329.4,5.2,218.5,
20250320 10:31:49,280_380V_10A_13,243,802.4,10,3294,329.4,5.2,218.5,
20250320 10:31:49,280_380V_10A_13,244,802.4,10,3293,329.3,5.1,218.5,
20250320 10:31:50,280_380V_10A_13,262,801.1,10,3190.5,319.4,5,218.5,
20250320 10:31:50,280_380V_10A_13,261,801.9,10,3194,319.3,5,218.5,
20250320 10:31:51,280_380V_10A_13,261,801.2,10,3190.5,319.4,5,218.5,
20250320 10:31:52,280_380V_10A_13,261,802.2,10,3194,319.4,5,218.5,
20250320 10:31:52,280_380V_10A_13,261,801,10,3193,319.3,5,218.5,
20250320 10:31:53,280_380V_10A_13,261,801.5,10,3190.5,319.4,5,219,
20250320 10:31:53,280_380V_10A_13,262,802.2,10,3190.5,319.4,5,219,
20250320 10:31:54,280_380V_10A_13,261,801.3,10,3194,319.4,5,218.5,
20250320 10:31:54,280_380V_10A_13,261,801.2,10,3194,319.4,5,218.5,
20250320 10:31:55,280_380V_10A_13,268,782.5,9.99,3091.5,309.5,4.8,219,
20250320 10:31:55,280_380V_10A_13,254,776.4,9.99,3095,309.5,4.9,219,
20250320 10:31:56,280_380V_10A_13,254,777.2,10,3094,309.5,4.9,219,
20250320 10:31:57,280_380V_10A_13,253,777.7,10,3095,309.5,4.8,219,
20250320 10:31:57,280_380V_10A_13,254,777.1,10,3092.5,309.4,4.9,219,
20250320 10:31:57,280_380V_10A_13,253,776.8,10,3095,309.6,4.9,219,
20250320 10:31:58,280_380V_10A_13,253,777.5,10,3090.5,309.4,4.9,218.5,
20250320 10:31:59,280_380V_10A_13,253,776,10,3095,309.4,4.8,218.5,
20250320 10:31:59,280_380V_10A_13,253,775.7,10,3095,309.5,4.8,218.5,
20250320 10:32:00,280_380V_10A_13,253,776.7,10,2996,299.6,4.7,218.5,
20250320 10:32:00,280_380V_10A_13,246,751.6,9.99,2996,299.6,4.7,218.5,
20250320 10:32:01,280_380V_10A_13,245,751.9,10,2992,299.6,4.7,218.5,
20250320 10:32:01,280_380V_10A_13,245,752,10,2992,299.5,4.7,219,
20250320 10:32:02,280_380V_10A_13,246,751.7,10,2992,299.5,4.7,218.5,
20250320 10:32:02,280_380V_10A_13,247,751.7,10,2996,299.6,4.7,219,
20250320 10:32:03,280_380V_10A_13,246,751.1,9.99,2995,299.5,4.7,219,
20250320 10:32:03,280_380V_10A_13,246,750.9,10,2992,299.6,4.7,219,
20250320 10:32:04,280_380V_10A_13,245,751.8,10,2993,299.5,4.7,218.5,
20250320 10:32:04,280_380V_10A_13,246,752.2,10,2992,299.6,4.7,218.5,
20250320 10:32:05,280_380V_10A_13,245,751.4,9.99,2996,299.6,4.7,218.5,
20250320 10:32:05,280_380V_10A_13,238,727.4,9.99,2895,289.5,4.6,218.5,
20250320 10:32:06,280_380V_10A_13,237,726.4,9.99,2892,289.5,4.6,218.5,
20250320 10:32:06,280_380V_10A_13,239,726.2,9.99,2894,289.4,4.5,218.5,
20250320 10:32:07,280_380V_10A_13,237,727.2,10,2892,289.5,4.5,218.5,
20250320 10:32:07,280_380V_10A_13,237,725.8,10,2892,289.5,4.5,218.5,
20250320 10:32:08,280_380V_10A_13,239,726.4,9.99,2895,289.5,4.6,218.5,
20250320 10:32:08,280_380V_10A_13,237,726.8,10,2892,289.6,4.6,218.5,
20250320 10:32:09,280_380V_10A_13,237,726.6,10,2895,289.5,4.6,218.5,
20250320 10:32:09,280_380V_10A_13,238,726.8,9.99,2893,289.5,4.6,219,
20250320 10:32:10,280_380V_10A_13,232,702.8,10,2792,279.6,4.4,219,
20250320 10:32:11,280_380V_10A_13,231,702.4,10,2792,279.5,4.4,219,
20250320 10:32:11,280_380V_10A_13,231,703.1,10,2793,279.6,4.4,219,
20250320 10:32:12,280_380V_10A_13,231,702.3,10,2793,279.4,4.4,219,
20250320 10:32:13,280_380V_10A_13,233,702,9.99,2796,279.6,4.4,219,
20250320 10:32:13,280_380V_10A_13,231,703.3,10,2792,279.6,4.4,219,
20250320 10:32:14,280_380V_10A_13,233,702.7,9.99,2795,279.6,4.4,218.5,
20250320 10:32:14,280_380V_10A_13,232,701.9,9.99,2796,279.5,4.4,219,
20250320 10:32:15,280_380V_10A_13,231,702.9,4.87,1052.5,279.4,0,219.5,
20250320 10:32:15,280_380V_10A_13,300,700.9,0.08,21.5,262.6,0,219.5,
20250320 10:32:16,280_380V_10A_13,300,697.7,0.09,19,216.7,0,219.5,
