DateTime,Name,HV_SwitchingFreq_Rail1,VS_Bulk_HvDc,CS_Shunt_HVDC_R1,HV_OutPwr,VS_Vout_Sense_HVDC,MainsRMSCurrent,MainsRMSVoltage,
20250320 09:33:33,280_380V_10A_7,300,62.7,0.09,25,279.5,0,218.5,
20250320 09:33:35,280_380V_10A_7,300,62.5,0.09,25,279.4,0,218.5,
20250320 09:33:35,280_380V_10A_7,300,62.3,0.09,25,279.5,0,218.5,
20250320 09:33:36,280_380V_10A_7,300,62.1,0.09,25,279.4,0,219,
20250320 09:33:36,280_380V_10A_7,300,346.9,0.09,25,279.4,0.5,219,
20250320 09:33:37,280_380V_10A_7,300,561.8,0.09,25,279.4,0.6,219,
20250320 09:33:37,280_380V_10A_7,300,692.6,0.09,25,279.4,0.4,219,
20250320 09:33:38,280_380V_10A_7,300,702.5,0.09,25,279.4,0.5,219,
20250320 09:33:38,280_380V_10A_7,300,695.5,1.53,471.5,279.9,1.2,219,
20250320 09:33:39,280_380V_10A_7,234,698,9.9,2773.5,279.6,4.4,218.5,
20250320 09:33:39,280_380V_10A_7,233,702.6,9.99,2796,279.6,4.4,218.5,
20250320 09:33:39,280_380V_10A_7,232,702.5,9.99,2796,279.5,4.4,218.5,
20250320 09:33:40,280_380V_10A_7,232,703.1,10,2793,279.6,4.4,218.5,
20250320 09:33:41,280_380V_10A_7,232,702.8,10,2792,279.5,4.4,218.5,
20250320 09:33:41,280_380V_10A_7,233,703.1,9.99,2795,279.5,4.4,218.5,
20250320 09:33:42,280_380V_10A_7,231,702,9.99,2796,279.5,4.5,219,
20250320 09:33:42,280_380V_10A_7,232,703.3,10,2792,279.5,4.4,219,
20250320 09:33:43,280_380V_10A_7,232,701.7,9.99,2895,289.5,4.6,219,
20250320 09:33:43,280_380V_10A_7,198,687.6,10,2892,289.5,4.6,218.5,
20250320 09:33:44,280_380V_10A_7,198,687.8,10,2893,289.5,4.6,218.5,
20250320 09:33:44,280_380V_10A_7,198,688,9.99,2895,289.5,4.6,218.5,
20250320 09:33:45,280_380V_10A_7,199,688,9.99,2895,289.5,4.6,218.5,
20250320 09:33:45,280_380V_10A_7,198,687.3,9.99,2895,289.5,4.6,218.5,
20250320 09:33:46,280_380V_10A_7,197,687.9,10,2892,289.5,4.5,218.5,
20250320 09:33:46,280_380V_10A_7,197,687.1,9.99,2896,289.5,4.6,218.5,
20250320 09:33:47,280_380V_10A_7,197,688.3,10,2892,289.5,4.6,218.5,
20250320 09:33:47,280_380V_10A_7,197,687.9,10,2892,289.5,4.5,218.5,
20250320 09:33:47,280_380V_10A_7,197,687.8,10,2892,289.5,4.6,218.5,
20250320 09:33:48,280_380V_10A_7,177,688,10,2993,299.6,4.7,218.5,
20250320 09:33:48,280_380V_10A_7,179,687.4,9.99,2995,299.5,4.7,219,
20250320 09:33:49,280_380V_10A_7,179,687.2,9.99,2996,299.6,4.7,219,
20250320 09:33:49,280_380V_10A_7,177,687.3,9.99,2996,299.6,4.7,219,
