DateTime,Name,HV_SwitchingFreq_Rail1,VS_Bulk_HvDc,CS_Shunt_HVDC_R1,HV_OutPwr,VS_Vout_Sense_HVDC,MainsRMSCurrent,MainsRMSVoltage,
20250320 15:27:17,280_380V_5A_7,300,9,0.09,25,279.4,0,219,
20250320 15:27:19,280_380V_5A_7,300,9.1,0.09,25,279.4,0,219,
20250320 15:27:20,280_380V_5A_7,300,63.2,0.09,25,279.4,1.2,219,
20250320 15:27:20,280_380V_5A_7,300,416.6,0.09,25,279.4,0.5,219,
20250320 15:27:21,280_380V_5A_7,300,689.2,0.09,25,279.4,0.3,219,
20250320 15:27:21,280_380V_5A_7,300,702.7,0.09,25,279.4,0,218.5,
20250320 15:27:22,280_380V_5A_7,300,692.4,2.72,1227,279.5,1.6,218.5,
20250320 15:27:22,280_380V_5A_7,300,686.5,5,1394.5,279.6,2.2,218.5,
20250320 15:27:23,280_380V_5A_7,300,687.3,4.99,1396,279.2,2.2,218.5,
20250320 15:27:24,280_380V_5A_7,300,685.5,5,1397.5,279.1,2.2,218.5,
20250320 15:27:24,280_380V_5A_7,300,686.1,4.99,1395.5,279,2.2,219,
20250320 15:27:25,280_380V_5A_7,300,686,4.99,1399.5,279.9,2.2,219,
20250320 15:27:25,280_380V_5A_7,300,686.3,5,1396.5,279.4,2.2,219,
20250320 15:27:26,280_380V_5A_7,300,685.4,4.99,1397,279.4,2.2,219,
20250320 15:27:26,280_380V_5A_7,300,685.5,5,1445,289.7,2.3,219,
20250320 15:27:27,280_380V_5A_7,300,686.2,4.99,1448.5,289.7,2.3,219,
20250320 15:27:27,280_380V_5A_7,300,687,4.99,1449.5,289.3,2.3,219,
20250320 15:27:28,280_380V_5A_7,300,686.8,5,1447,289.4,2.3,219,
20250320 15:27:29,280_380V_5A_7,300,687.2,5,1444,289.6,2.3,218.5,
20250320 15:27:29,280_380V_5A_7,300,686.8,5,1449,289.7,2.2,218.5,
20250320 15:27:30,280_380V_5A_7,300,685.8,4.99,1448.5,289.5,2.3,218.5,
20250320 15:27:30,280_380V_5A_7,300,686.8,5,1444,289.5,2.3,218.5,
20250320 15:27:31,280_380V_5A_7,300,686.2,5,1447,289.5,2.3,218.5,
20250320 15:27:31,280_380V_5A_7,300,685.7,4.99,1491.5,296.9,2.4,219,
20250320 15:27:32,280_380V_5A_7,300,686.7,4.99,1495.5,299.5,2.3,219,
20250320 15:27:32,280_380V_5A_7,300,687.3,5,1494,299.4,2.4,219,
20250320 15:27:33,280_380V_5A_7,300,686.8,5,1497,299.4,2.3,219,
20250320 15:27:34,280_380V_5A_7,300,686.4,4.99,1495.5,299.1,2.3,219,
20250320 15:27:34,280_380V_5A_7,300,686.6,5,1495.5,299.8,2.3,219,
20250320 15:27:35,280_380V_5A_7,300,686.7,5,1499.5,299.8,2.3,219,
20250320 15:27:35,280_380V_5A_7,300,686.8,4.99,1499,299.7,2.3,219,
20250320 15:27:36,280_380V_5A_7,300,687.4,5,1496,299.3,2.4,219,
20250320 15:27:36,280_380V_5A_7,300,687.9,4.99,1496.5,299.4,2.4,218.5,
20250320 15:27:37,280_380V_5A_7,300,687.8,5,1548,309.6,2.4,218.5,
20250320 15:27:37,280_380V_5A_7,300,687.8,5,1548,309.3,2.4,218.5,
20250320 15:27:38,280_380V_5A_7,300,687.5,4.99,1546.5,309.5,2.5,218.5,
20250320 15:27:39,280_380V_5A_7,300,687.8,4.99,1547.5,309.4,2.5,219,
20250320 15:27:39,280_380V_5A_7,300,687.6,4.99,1547,309.4,2.5,219,
20250320 15:27:40,280_380V_5A_7,300,688,5,1547.5,309.4,2.5,219,
20250320 15:27:40,280_380V_5A_7,300,686.8,5,1546.5,309.3,2.5,219,
20250320 15:27:41,280_380V_5A_7,300,687.2,5,1544,309.5,2.5,219,
20250320 15:27:41,280_380V_5A_7,300,687.8,4.99,1547.5,309.5,2.5,219,
20250320 15:27:42,280_380V_5A_7,260,688.3,5,1593,319.3,2.6,219,
20250320 15:27:42,280_380V_5A_7,260,687.2,5,1593,319.3,2.6,219,
20250320 15:27:43,280_380V_5A_7,262,687.8,4.99,1596.5,319.3,2.5,219,
20250320 15:27:44,280_380V_5A_7,260,687.7,4.99,1596.5,319.4,2.6,218.5,
20250320 15:27:44,280_380V_5A_7,259,686.9,4.99,1596.5,319.4,2.6,218.5,
20250320 15:27:45,280_380V_5A_7,260,687.1,5,1596.5,319.3,2.5,218.5,
