DateTime,Name,HV_SwitchingFreq_Rail1,VS_Bulk_HvDc,CS_Shunt_HVDC_R1,HV_OutPwr,VS_Vout_Sense_HVDC,MainsRMSCurrent,MainsRMSVoltage,
20250320 10:18:02,280_380V_10A_12,300,114.3,0.09,25,279.4,0,219,
20250320 10:18:03,280_380V_10A_12,300,114.1,0.09,25,279.5,0,219,
20250320 10:18:04,280_380V_10A_12,300,113.8,0.09,25,279.4,0,218.5,
20250320 10:18:04,280_380V_10A_12,300,113.5,0.09,25,279.5,0,219,
20250320 10:18:05,280_380V_10A_12,300,288.9,0.09,25,279.4,0.8,219,
20250320 10:18:05,280_380V_10A_12,300,471.3,0.09,25,279.4,0.5,219,
20250320 10:18:06,280_380V_10A_12,300,668.5,0.09,25,279.5,0.5,219,
20250320 10:18:06,280_380V_10A_12,300,700.2,0.09,25,279.4,0.5,219,
20250320 10:18:06,280_380V_10A_12,300,701.8,0.09,25,279.4,0,219,
20250320 10:18:07,280_380V_10A_12,300,692.3,5.56,1601.5,279.5,2.8,219,
20250320 10:18:07,280_380V_10A_12,215,685.6,9.98,2789,279.6,4.4,219,
20250320 10:18:08,280_380V_10A_12,216,688.3,10,2793,279.6,4.4,218.5,
20250320 10:18:08,280_380V_10A_12,216,687.6,10,2793,279.6,4.4,218.5,
20250320 10:18:09,280_380V_10A_12,218,688.4,10,2795,279.6,4.4,218.5,
20250320 10:18:09,280_380V_10A_12,217,687.8,9.99,2795,279.5,4.4,218.5,
20250320 10:18:10,280_380V_10A_12,218,688.1,9.99,2796,279.5,4.4,218.5,
20250320 10:18:10,280_380V_10A_12,217,688.2,9.99,2796,279.6,4.4,218.5,
20250320 10:18:11,280_380V_10A_12,217,687.8,9.99,2796,279.6,4.4,218.5,
20250320 10:18:11,280_380V_10A_12,217,687.3,10,2793,279.6,4.4,218.5,
20250320 10:18:12,280_380V_10A_12,196,686.7,10,2892,289.5,4.5,218.5,
20250320 10:18:12,280_380V_10A_12,199,687.3,9.99,2895,289.5,4.6,218.5,
20250320 10:18:13,280_380V_10A_12,199,687.6,9.99,2895,289.5,4.5,218.5,
20250320 10:18:13,280_380V_10A_12,198,687.1,9.99,2896,289.5,4.5,218.5,
20250320 10:18:14,280_380V_10A_12,197,688.2,10,2892,289.6,4.5,219,
20250320 10:18:14,280_380V_10A_12,197,687.7,10,2892,289.5,4.6,219,
20250320 10:18:14,280_380V_10A_12,197,687.2,10,2892,289.5,4.6,219,
20250320 10:18:15,280_380V_10A_12,199,687.8,9.99,2895,289.5,4.6,218.5,
20250320 10:18:15,280_380V_10A_12,199,688.1,9.99,2895,289.5,4.6,218.5,
20250320 10:18:16,280_380V_10A_12,198,687.9,9.99,2895,289.5,4.5,218.5,
20250320 10:18:16,280_380V_10A_12,198,687.3,9.99,2895,289.5,4.5,218.5,
20250320 10:18:17,280_380V_10A_12,179,686.7,9.99,2995,299.6,4.7,218.5,
20250320 10:18:17,280_380V_10A_12,177,687.3,10,2995,299.5,4.7,218.5,
20250320 10:18:18,280_380V_10A_12,177,687.6,10,2993,299.6,4.7,218.5,
20250320 10:18:18,280_380V_10A_12,178,686.9,9.99,2995,299.5,4.7,218.5,
20250320 10:18:19,280_380V_10A_12,178,688,10,2993,299.6,4.7,218.5,
20250320 10:18:19,280_380V_10A_12,178,687.4,10,2993,299.6,4.7,218.5,
20250320 10:18:20,280_380V_10A_12,179,687.5,9.99,2995,299.5,4.7,218.5,
20250320 10:18:21,280_380V_10A_12,177,687.1,9.99,2996,299.6,4.7,218.5,
20250320 10:18:21,280_380V_10A_12,177,687.2,10,2993,299.6,4.7,218.5,
20250320 10:18:21,280_380V_10A_12,177,687.7,10,2992,299.5,4.7,219,
20250320 10:18:22,280_380V_10A_12,158,688.1,10,3095,309.5,4.8,219,
20250320 10:18:22,280_380V_10A_12,158,688.4,9.99,3095,309.5,4.9,219,
20250320 10:18:23,280_380V_10A_12,158,687,9.99,3095,309.5,4.9,219,
20250320 10:18:23,280_380V_10A_12,157,687.5,10,3091.5,309.5,4.8,219,
20250320 10:18:24,280_380V_10A_12,156,688.2,10,3091.5,309.6,4.9,218.5,
20250320 10:18:24,280_380V_10A_12,156,687.4,10,3091.5,309.5,4.8,218.5,
20250320 10:18:25,280_380V_10A_12,158,688.2,10,3091.5,309.5,4.8,218.5,
20250320 10:18:25,280_380V_10A_12,157,688.2,10,3095,309.5,4.8,218.5,
20250320 10:18:26,280_380V_10A_12,157,687.3,10,3091.5,309.5,4.9,218.5,
20250320 10:18:26,280_380V_10A_12,156,687.8,10,3091.5,309.5,4.8,218.5,
20250320 10:18:27,280_380V_10A_12,136,687.2,10.04,3210.5,319.4,5.5,218.5,
20250320 10:18:27,280_380V_10A_12,258,800.9,10,3194,319.4,5,218.5,
20250320 10:18:27,280_380V_10A_12,262,802.1,10,3194,319.4,5,218.5,
20250320 10:18:28,280_380V_10A_12,262,801.6,10,3193,319.5,5,218.5,
20250320 10:18:28,280_380V_10A_12,261,801.1,10,3194,319.4,5,218.5,
20250320 10:18:29,280_380V_10A_12,261,801.7,10,3194,319.4,5,218.5,
20250320 10:18:30,280_380V_10A_12,262,800.3,9.99,3194,319.4,5,219,
20250320 10:18:30,280_380V_10A_12,261,801.5,10,3194,319.4,5.1,218.5,
20250320 10:18:31,280_380V_10A_12,262,801.4,9.99,3194,319.4,5,219,
20250320 10:18:31,280_380V_10A_12,262,802.1,9.99,3194,319.4,5,219,
20250320 10:18:32,280_380V_10A_12,240,799.5,10,3290.5,329.4,5.2,218.5,
20250320 10:18:32,280_380V_10A_12,245,802.6,9.99,3294,329.4,5.2,218.5,
20250320 10:18:33,280_380V_10A_12,242,803.4,9.99,3294,329.3,5.2,218.5,
20250320 10:18:33,280_380V_10A_12,243,803.1,10,3290.5,329.3,5.1,218.5,
20250320 10:18:34,280_380V_10A_12,243,803.4,10,3289.5,329.4,5.2,218.5,
20250320 10:18:34,280_380V_10A_12,245,803,9.99,3294,329.4,5.2,218.5,
20250320 10:18:35,280_380V_10A_12,244,803.5,9.99,3294,329.4,5.2,218.5,
20250320 10:18:35,280_380V_10A_12,244,803.6,10,3290.5,329.4,5.2,218.5,
20250320 10:18:36,280_380V_10A_12,244,803.1,10,3290.5,329.4,5.2,218.5,
20250320 10:18:36,280_380V_10A_12,244,802.3,9.99,3294,329.4,5.2,218.5,
