DateTime,Name,HV_SwitchingFreq_Rail1,VS_Bulk_HvDc,CS_Shunt_HVDC_R1,HV_OutPwr,VS_Vout_Sense_HVDC,MainsRMSCurrent,MainsRMSVoltage,
20250320 14:57:04,280_380V_5A_4,300,104,0.09,25,279.4,0,218.5,
20250320 14:57:05,280_380V_5A_4,300,103.6,0.09,25,279.4,0,219,
20250320 14:57:06,280_380V_5A_4,300,103.4,0.09,25,279.4,0,219,
20250320 14:57:06,280_380V_5A_4,300,103,0.09,25,279.4,0.2,219,
20250320 14:57:07,280_380V_5A_4,300,466.4,0.09,25,279.4,0.3,219,
20250320 14:57:07,280_380V_5A_4,300,666.5,0.09,25,279.5,0.4,219,
20250320 14:57:08,280_380V_5A_4,300,700,0.09,25,279.4,0.4,219,
20250320 14:57:08,280_380V_5A_4,300,701.3,0.09,25,279.4,0.5,219,
20250320 14:57:09,280_380V_5A_4,300,698.1,4.97,1389,279.6,2.3,219,
20250320 14:57:09,280_380V_5A_4,300,701,5,1395,279,2.3,219,
20250320 14:57:10,280_380V_5A_4,300,687.5,5,1396,279.1,2.3,218.5,
20250320 14:57:11,280_380V_5A_4,300,685.7,4.99,1396,279.5,2.3,218.5,
20250320 14:57:11,280_380V_5A_4,300,686.1,4.99,1398.5,279.7,2.3,218.5,
20250320 14:57:12,280_380V_5A_4,300,685.8,4.99,1399,279.5,2.3,218.5,
20250320 14:57:12,280_380V_5A_4,300,685.8,5,1397.5,279.5,2.3,218.5,
20250320 14:57:13,280_380V_5A_4,300,686,4.99,1395.5,279,2.3,219,
20250320 14:57:13,280_380V_5A_4,300,686.7,5,1395,278.9,2.4,219,
20250320 14:57:14,280_380V_5A_4,300,686.3,4.99,1448.5,289.6,2.4,219,
20250320 14:57:15,280_380V_5A_4,300,686.6,5,1449.5,289.8,2.4,219,
20250320 14:57:15,280_380V_5A_4,300,685.6,4.99,1443.5,289.4,2.4,219,
20250320 14:57:16,280_380V_5A_4,300,685.6,4.99,1445.5,289.7,2.4,219,
20250320 14:57:16,280_380V_5A_4,300,686.2,4.99,1448.5,289.5,2.4,219,
20250320 14:57:17,280_380V_5A_4,300,686.3,5,1447.5,289,2.4,219,
20250320 14:57:17,280_380V_5A_4,300,687.2,4.99,1442.5,289.1,2.4,219,
20250320 14:57:18,280_380V_5A_4,300,687,4.99,1445,289.8,2.4,218.5,
20250320 14:57:18,280_380V_5A_4,300,686.4,4.99,1499.5,299.8,2.4,218.5,
20250320 14:57:19,280_380V_5A_4,300,687.7,5,1497,299.4,2.4,218.5,
20250320 14:57:20,280_380V_5A_4,300,686.9,5,1496,299.3,2.4,218.5,
20250320 14:57:20,280_380V_5A_4,300,687.5,4.99,1496.5,299.4,2.4,218.5,
20250320 14:57:21,280_380V_5A_4,300,687,4.99,1496.5,299.8,2.4,219,
20250320 14:57:21,280_380V_5A_4,300,688.3,5,1499,299.5,2.4,219,
20250320 14:57:22,280_380V_5A_4,300,687.6,4.99,1497,299.4,2.4,219,
20250320 14:57:23,280_380V_5A_4,300,686.4,5,1494,299.3,2.4,219,
