DateTime,Name,HV_SwitchingFreq_Rail1,VS_Bulk_HvDc,CS_Shunt_HVDC_R1,HV_OutPwr,VS_Vout_Sense_HVDC,MainsRMSCurrent,MainsRMSVoltage,
20250320 10:11:09,280_380V_10A_11,300,23,0.09,25,279.4,0,218.5,
20250320 10:11:11,280_380V_10A_11,300,23,0.09,25,279.4,0,218.5,
20250320 10:11:11,280_380V_10A_11,300,23,0.09,25,279.4,0.4,219,
20250320 10:11:12,280_380V_10A_11,300,393,0.09,25,279.4,0.3,218.5,
20250320 10:11:12,280_380V_10A_11,300,609.9,0.09,25,279.4,0.4,218.5,
20250320 10:11:13,280_380V_10A_11,300,698,0.09,25,279.4,0.4,219,
20250320 10:11:13,280_380V_10A_11,300,702.8,0.09,25,279.4,0,219,
20250320 10:11:14,280_380V_10A_11,300,685.6,3.93,1140,279.1,2.1,219,
20250320 10:11:14,280_380V_10A_11,217,687.8,9.98,2790,279.5,4.4,219,
20250320 10:11:15,280_380V_10A_11,216,688,10,2793,279.6,4.4,219,
20250320 10:11:15,280_380V_10A_11,215,687.1,10,2793,279.6,4.4,218.5,
20250320 10:11:16,280_380V_10A_11,216,687.5,10,2792,279.5,4.4,218.5,
20250320 10:11:16,280_380V_10A_11,217,687.5,9.99,2796,279.5,4.4,218.5,
20250320 10:11:17,280_380V_10A_11,216,688,10,2793,279.5,4.4,218.5,
20250320 10:11:18,280_380V_10A_11,217,687.9,10,2792,279.6,4.4,218.5,
20250320 10:11:18,280_380V_10A_11,217,687.2,9.99,2795,279.5,4.4,218.5,
20250320 10:11:19,280_380V_10A_11,196,687.6,10,2892,289.5,4.5,219,
20250320 10:11:19,280_380V_10A_11,197,687.8,10,2895,289.5,4.6,219,
20250320 10:11:20,280_380V_10A_11,198,688,9.99,2895,289.5,4.6,219,
20250320 10:11:20,280_380V_10A_11,197,688,10,2892,289.5,4.6,219,
20250320 10:11:21,280_380V_10A_11,197,687.4,10,2892,289.5,4.6,219,
20250320 10:11:21,280_380V_10A_11,198,687.8,9.99,2895,289.5,4.6,218.5,
20250320 10:11:22,280_380V_10A_11,197,687.9,9.99,2896,289.5,4.6,219,
20250320 10:11:22,280_380V_10A_11,197,687.8,10,2892,289.5,4.5,218.5,
20250320 10:11:23,280_380V_10A_11,198,688,9.99,2895,289.5,4.6,219,
20250320 10:11:24,280_380V_10A_11,177,687.9,9.99,2996,299.6,4.7,218.5,
20250320 10:11:24,280_380V_10A_11,177,687.4,10,2993,299.6,4.7,218.5,
20250320 10:11:25,280_380V_10A_11,178,687.4,9.99,2996,299.5,4.7,218.5,
20250320 10:11:25,280_380V_10A_11,178,687.8,9.99,2995,299.6,4.7,218.5,
20250320 10:11:26,280_380V_10A_11,177,687.7,10,2992,299.6,4.7,218.5,
20250320 10:11:26,280_380V_10A_11,179,686.8,9.99,2996,299.5,4.7,219,
20250320 10:11:27,280_380V_10A_11,177,688,9.99,2995,299.6,4.7,219,
20250320 10:11:27,280_380V_10A_11,177,688.1,10,2993,299.6,4.7,219,
20250320 10:11:28,280_380V_10A_11,178,687.4,10,2996,299.6,4.7,219,
20250320 10:11:29,280_380V_10A_11,157,686.9,10,3095,309.5,4.8,218.5,
20250320 10:11:29,280_380V_10A_11,156,687.6,10,3091.5,309.5,4.8,218.5,
20250320 10:11:30,280_380V_10A_11,156,688.1,10,3090.5,309.4,4.8,218.5,
20250320 10:11:30,280_380V_10A_11,157,687.6,9.99,3095,309.5,4.8,218.5,
20250320 10:11:31,280_380V_10A_11,156,687.1,10,3091.5,309.5,4.8,218.5,
20250320 10:11:31,280_380V_10A_11,156,688.1,10,3091.5,309.5,4.8,218.5,
20250320 10:11:32,280_380V_10A_11,158,687,9.99,3095,309.5,4.9,218.5,
20250320 10:11:32,280_380V_10A_11,155,687.4,9.99,3091.5,309.5,4.8,218.5,
20250320 10:11:33,280_380V_10A_11,156,688,10,3091.5,309.5,4.8,218.5,
20250320 10:11:33,280_380V_10A_11,137,687.7,10.04,3209.5,319.4,5.6,219,
20250320 10:11:34,280_380V_10A_11,261,801.6,10,3193,319.3,5,219,
20250320 10:11:34,280_380V_10A_11,261,801.9,10,3190.5,319.4,5,219,
20250320 10:11:35,280_380V_10A_11,262,802.6,10,3194,319.4,5.1,219,
20250320 10:11:35,280_380V_10A_11,261,800.5,9.99,3194,319.4,5,219,
20250320 10:11:36,280_380V_10A_11,262,802.4,10,3190.5,319.4,5,218.5,
20250320 10:11:36,280_380V_10A_11,262,800.6,10,3190.5,319.4,5,218.5,
20250320 10:11:37,280_380V_10A_11,261,801.4,9.99,3193,319.4,5,218.5,
20250320 10:11:37,280_380V_10A_11,261,801,10,3194,319.3,5,218.5,
20250320 10:11:38,280_380V_10A_11,261,801.4,10,3190.5,319.4,5,218.5,
20250320 10:11:38,280_380V_10A_11,242,801.2,10,3294,329.4,5.2,218.5,
20250320 10:11:39,280_380V_10A_11,244,803.4,9.99,3294,329.4,5.2,218.5,
20250320 10:11:40,280_380V_10A_11,243,803.4,10,3290.5,329.4,5.2,218.5,
20250320 10:11:40,280_380V_10A_11,244,802.9,9.99,3294,329.4,5.1,218.5,
20250320 10:11:41,280_380V_10A_11,242,802.4,9.99,3289.5,329.4,5.2,219,
20250320 10:11:41,280_380V_10A_11,242,802.8,9.99,3290.5,329.4,5.2,219,
20250320 10:11:42,280_380V_10A_11,244,802.8,10,3290.5,329.4,5.2,219,
20250320 10:11:42,280_380V_10A_11,244,803.1,9.99,3294,329.4,5.2,219,
20250320 10:11:43,280_380V_10A_11,244,802.9,9.99,3294,329.4,5.1,218.5,
20250320 10:11:43,280_380V_10A_11,223,803.5,9.99,3394,339.5,5.3,218.5,
20250320 10:11:44,280_380V_10A_11,221,802.5,10,3390.5,339.5,5.3,218.5,
20250320 10:11:44,280_380V_10A_11,224,802.9,10,3395,339.5,5.3,218.5,
20250320 10:11:45,280_380V_10A_11,223,802.6,9.99,3395,339.4,5.3,218.5,
20250320 10:11:45,280_380V_10A_11,222,803.5,9.99,3395,339.5,5.3,218.5,
20250320 10:11:46,280_380V_10A_11,222,803,9.99,3394,339.4,5.3,218.5,
20250320 10:11:46,280_380V_10A_11,222,802.6,10,3391.5,339.5,5.3,218.5,
20250320 10:11:47,280_380V_10A_11,223,802.6,9.99,3395,339.4,5.3,218.5,
20250320 10:11:48,280_380V_10A_11,222,803.6,9.99,3395,339.4,5.3,218.5,
20250320 10:11:48,280_380V_10A_11,222,803.8,10,3391.5,339.4,5.3,219,
20250320 10:11:49,280_380V_10A_11,201,803.8,10,3490.5,349.4,5.5,219,
20250320 10:11:49,280_380V_10A_11,202,803.8,9.99,3494,349.4,5.5,219,
20250320 10:11:50,280_380V_10A_11,201,802.9,9.99,3494,349.4,5.5,219,
20250320 10:11:50,280_380V_10A_11,200,803.3,10,3490.5,349.4,5.5,219,
20250320 10:11:51,280_380V_10A_11,200,803,10,3490.5,349.4,5.5,218.5,
20250320 10:11:51,280_380V_10A_11,202,802.4,9.99,3494,349.4,5.5,218.5,
20250320 10:11:52,280_380V_10A_11,201,802.7,9.99,3490.5,349.4,5.5,218.5,
20250320 10:11:52,280_380V_10A_11,199,803.2,9.99,3494,349.4,5.5,218.5,
20250320 10:11:52,280_380V_10A_11,200,801.6,10,3490.5,349.4,5.5,218.5,
20250320 10:11:53,280_380V_10A_11,200,803.7,10,3490.5,349.5,5.5,218.5,
20250320 10:11:53,280_380V_10A_11,177,802,10,3589,359.3,5.6,218.5,
20250320 10:11:54,280_380V_10A_11,178,802.4,10,3590,359.4,5.6,218.5,
20250320 10:11:54,280_380V_10A_11,179,803.1,9.99,3594,359.3,5.6,218.5,
20250320 10:11:55,280_380V_10A_11,178,802.7,10,3589,359.3,5.6,218.5,
20250320 10:11:56,280_380V_10A_11,180,803.5,9.99,3593,359.3,5.6,219,
20250320 10:11:56,280_380V_10A_11,180,803.5,9.99,3593,359.3,5.6,219,
20250320 10:11:57,280_380V_10A_11,179,803.3,9.99,3589,359.3,5.6,219,
20250320 10:11:57,280_380V_10A_11,178,802.7,10,3589,359.3,5.6,219,
20250320 10:11:58,280_380V_10A_11,179,803.1,9.99,3594,359.4,5.6,219,
20250320 10:11:58,280_380V_10A_11,179,804.1,9.99,3594,359.4,5.6,218.5,
20250320 10:11:59,280_380V_10A_11,168,803.8,9.99,3693,369.3,5.8,218.5,
20250320 10:11:59,280_380V_10A_11,168,802.1,9.99,3689,369.3,5.7,218.5,
20250320 10:12:00,280_380V_10A_11,168,802.4,10,3688,369.3,5.7,218.5,
20250320 10:12:00,280_380V_10A_11,168,803.1,9.99,3693,369.3,5.8,218.5,
20250320 10:12:01,280_380V_10A_11,168,803.4,10,3689,369.2,5.7,218.5,
20250320 10:12:01,280_380V_10A_11,168,803.2,9.99,3693,369.3,5.8,218.5,
20250320 10:12:02,280_380V_10A_11,169,803.6,9.99,3692,369.2,5.7,218.5,
20250320 10:12:02,280_380V_10A_11,168,804.4,9.99,3693,369.3,5.8,218.5,
20250320 10:12:03,280_380V_10A_11,168,801.8,9.99,3693,369.3,5.8,219,
20250320 10:12:04,280_380V_10A_11,178,802.8,9.99,3793,379.3,5.9,219,
20250320 10:12:04,280_380V_10A_11,176,802.6,9.99,3789,379.3,5.9,219,
20250320 10:12:05,280_380V_10A_11,178,802.7,10,3793,379.3,5.9,219,
20250320 10:12:05,280_380V_10A_11,178,802.5,9.99,3793,379.3,5.9,219,
20250320 10:12:06,280_380V_10A_11,178,801.5,9.99,3793,379.4,5.9,218.5,
20250320 10:12:06,280_380V_10A_11,177,802.4,10,3789,379.3,5.9,218.5,
20250320 10:12:07,280_380V_10A_11,179,803,10,3793,379.3,6,218.5,
20250320 10:12:07,280_380V_10A_11,178,802.2,9.99,3793,379.3,5.9,218.5,
20250320 10:12:08,280_380V_10A_11,176,803,10,3789,379.2,5.9,218.5,
20250320 10:12:08,280_380V_10A_11,177,802,10,3789,379.3,5.9,218.5,
20250320 10:12:09,280_380V_10A_11,168,803,9.99,3693,369.3,5.7,218.5,
20250320 10:12:09,280_380V_10A_11,168,803.2,9.99,3693,369.3,5.7,218.5,
20250320 10:12:10,280_380V_10A_11,168,802.9,10,3688,369.2,5.8,218.5,
20250320 10:12:10,280_380V_10A_11,168,803.7,10,3689,369.3,5.8,218.5,
20250320 10:12:11,280_380V_10A_11,167,802.8,10,3689,369.3,5.8,219,
20250320 10:12:11,280_380V_10A_11,168,801.5,9.99,3693,369.3,5.8,219,
20250320 10:12:12,280_380V_10A_11,168,802.5,10,3693,369.3,5.8,219,
20250320 10:12:13,280_380V_10A_11,168,803,9.99,3693,369.3,5.7,219,
20250320 10:12:13,280_380V_10A_11,168,802.8,10,3689,369.2,5.8,219,
20250320 10:12:14,280_380V_10A_11,178,802.7,10,3589,359.4,5.6,218.5,
20250320 10:12:14,280_380V_10A_11,179,803.6,10,3594,359.3,5.6,218.5,
20250320 10:12:15,280_380V_10A_11,179,803.2,9.99,3594,359.4,5.6,218.5,
20250320 10:12:15,280_380V_10A_11,178,803.1,10,3589,359.3,5.6,218.5,
20250320 10:12:16,280_380V_10A_11,178,803.7,10,3589,359.3,5.6,218.5,
20250320 10:12:16,280_380V_10A_11,180,802.6,9.99,3594,359.3,5.6,218.5,
20250320 10:12:17,280_380V_10A_11,179,803.5,9.99,3589,359.3,5.6,218.5,
20250320 10:12:17,280_380V_10A_11,178,802.5,10,3590,359.4,5.6,218.5,
20250320 10:12:18,280_380V_10A_11,179,803.3,9.99,3594,359.4,5.6,218.5,
20250320 10:12:18,280_380V_10A_11,179,803.2,9.99,3594,349.4,5.6,218.5,
20250320 10:12:19,280_380V_10A_11,201,802.6,9.99,3490.5,349.4,5.5,219,
20250320 10:12:19,280_380V_10A_11,202,802.4,10,3490.5,349.4,5.5,219,
20250320 10:12:20,280_380V_10A_11,202,802.6,9.99,3494,349.4,5.5,219,
20250320 10:12:20,280_380V_10A_11,201,803.6,9.99,3490.5,349.4,5.5,219,
20250320 10:12:21,280_380V_10A_11,200,803.3,10,3494,349.4,5.5,218.5,
20250320 10:12:22,280_380V_10A_11,199,803.9,9.99,3490.5,349.4,5.5,218.5,
20250320 10:12:22,280_380V_10A_11,200,803.7,9.99,3491.5,349.4,5.4,218.5,
20250320 10:12:23,280_380V_10A_11,201,803.6,9.99,3495,349.5,5.5,218.5,
20250320 10:12:23,280_380V_10A_11,222,803.4,10,3390.5,339.4,5.3,218.5,
20250320 10:12:24,280_380V_10A_11,222,802.4,10,3391.5,339.5,5.3,218.5,
20250320 10:12:24,280_380V_10A_11,225,802.5,9.99,3394,339.4,5.3,218.5,
20250320 10:12:25,280_380V_10A_11,221,803.3,9.99,3391.5,339.5,5.3,218.5,
20250320 10:12:25,280_380V_10A_11,222,803.9,10,3390.5,339.4,5.3,218.5,
20250320 10:12:26,280_380V_10A_11,223,802.5,9.99,3394,339.4,5.3,218.5,
20250320 10:12:27,280_380V_10A_11,222,803.7,9.99,3395,339.4,5.3,219,
20250320 10:12:27,280_380V_10A_11,221,802.5,10,3391.5,339.5,5.3,219,
20250320 10:12:28,280_380V_10A_11,224,802.9,9.99,3394,339.4,5.3,219,
20250320 10:12:28,280_380V_10A_11,221,803.8,10,3390.5,339.4,5.3,219,
20250320 10:12:29,280_380V_10A_11,244,802.7,10,3290.5,329.4,5.2,219,
20250320 10:12:29,280_380V_10A_11,244,802.5,9.99,3294,329.4,5.2,219,
20250320 10:12:30,280_380V_10A_11,244,803.8,9.99,3293,329.4,5.2,218.5,
20250320 10:12:30,280_380V_10A_11,243,803,10,3290.5,329.4,5.2,218.5,
20250320 10:12:31,280_380V_10A_11,243,802.4,10,3290.5,329.3,5.2,218.5,
20250320 10:12:31,280_380V_10A_11,244,803,9.99,3294,329.4,5.2,218.5,
20250320 10:12:32,280_380V_10A_11,242,803.1,10,3290.5,329.4,5.2,218.5,
20250320 10:12:32,280_380V_10A_11,245,802.8,10,3294,329.4,5.1,218.5,
20250320 10:12:33,280_380V_10A_11,243,802.4,9.99,3290.5,329.4,5.2,218.5,
20250320 10:12:33,280_380V_10A_11,263,803.1,10,3190.5,319.4,5,218.5,
20250320 10:12:34,280_380V_10A_11,261,802.1,9.99,3190.5,319.4,5,218.5,
20250320 10:12:34,280_380V_10A_11,261,800.8,9.99,3193,319.4,5,219,
20250320 10:12:35,280_380V_10A_11,261,802.2,10,3194,319.3,5,219,
20250320 10:12:36,280_380V_10A_11,262,801.4,10,3193,319.4,5,219,
20250320 10:12:36,280_380V_10A_11,261,801,9.99,3189.5,319.4,5,219,
20250320 10:12:37,280_380V_10A_11,261,802,10,3194,319.4,5,219,
20250320 10:12:37,280_380V_10A_11,260,800.9,10,3193,319.3,5,218.5,
20250320 10:12:38,280_380V_10A_11,261,801.6,10,3190.5,319.3,5,218.5,
20250320 10:12:38,280_380V_10A_11,261,801.2,10,3194,319.4,5,218.5,
20250320 10:12:39,280_380V_10A_11,258,783.5,9.99,3091.5,309.5,4.8,218.5,
20250320 10:12:39,280_380V_10A_11,254,776.9,10,3091.5,309.5,4.9,218.5,
20250320 10:12:39,280_380V_10A_11,253,776.6,9.99,3095,309.5,4.9,218.5,
20250320 10:12:40,280_380V_10A_11,253,777,9.99,3095,309.5,4.9,218.5,
20250320 10:12:41,280_380V_10A_11,253,777,10,3090.5,309.5,4.9,218.5,
20250320 10:12:41,280_380V_10A_11,253,775.8,10,3095,309.5,4.9,218.5,
20250320 10:12:42,280_380V_10A_11,253,776.5,10,3091.5,309.5,4.9,218.5,
20250320 10:12:42,280_380V_10A_11,253,776.4,9.99,3095,309.5,4.8,219,
20250320 10:12:43,280_380V_10A_11,253,776,10,3095,309.5,4.8,219,
20250320 10:12:43,280_380V_10A_11,272,769.8,9.99,2993,299.6,4.6,219,
20250320 10:12:44,280_380V_10A_11,245,752.5,9.99,2992,299.5,4.7,219,
20250320 10:12:45,280_380V_10A_11,246,752.9,9.99,2995,299.5,4.7,219,
