DateTime,Name,HV_SwitchingFreq_Rail1,VS_Bulk_HvDc,CS_Shunt_HVDC_R1,HV_OutPwr,VS_Vout_Sense_HVDC,MainsRMSCurrent,MainsRMSVoltage,
20250320 09:25:02,280_380V_10A_6,300,108.7,0.09,22,279.4,0,218.5,
20250320 09:25:04,280_380V_10A_6,300,108.4,0.08,22,279.4,0,218.5,
20250320 09:25:05,280_380V_10A_6,300,108,0.08,22,279.4,0,218.5,
20250320 09:25:05,280_380V_10A_6,300,107.8,0.09,25,279.4,0,219,
20250320 09:25:05,280_380V_10A_6,300,344.9,0.09,22,279.4,0.4,219,
20250320 09:25:06,280_380V_10A_6,300,511.8,0.09,25,279.4,0.7,219,
20250320 09:25:06,280_380V_10A_6,300,682.5,0.09,25,279.4,0.4,219,
20250320 09:25:07,280_380V_10A_6,300,701.7,0.09,25,279.4,0.3,219,
20250320 09:25:07,280_380V_10A_6,300,694.9,0.71,231.5,279.9,0.9,219,
20250320 09:25:08,280_380V_10A_6,256,698.1,8.11,2703.5,279.5,3.9,218.5,
20250320 09:25:08,280_380V_10A_6,232,703.1,9.99,2796,279.6,4.4,218.5,
20250320 09:25:09,280_380V_10A_6,231,702.9,9.99,2796,279.5,4.4,218.5,
20250320 09:25:09,280_380V_10A_6,231,702.3,9.99,2796,279.6,4.4,218.5,
20250320 09:25:10,280_380V_10A_6,231,702.4,10,2792,279.6,4.4,218.5,
20250320 09:25:10,280_380V_10A_6,231,703.2,10,2792,279.5,4.4,218.5,
20250320 09:25:11,280_380V_10A_6,232,702.8,10,2792,279.5,4.4,219,
20250320 09:25:11,280_380V_10A_6,233,702.9,9.99,2795,279.5,4.4,219,
20250320 09:25:11,280_380V_10A_6,233,702.4,9.99,2795,279.6,4.4,219,
20250320 09:25:12,280_380V_10A_6,232,702.4,9.99,2796,279.6,4.4,219,
20250320 09:25:12,280_380V_10A_6,198,689.7,10,2892,289.5,4.5,218.5,
20250320 09:25:13,280_380V_10A_6,197,688.3,10,2892,289.5,4.5,218.5,
20250320 09:25:13,280_380V_10A_6,199,687.5,10,2892,289.5,4.6,218.5,
20250320 09:25:14,280_380V_10A_6,199,688.3,9.99,2895,289.5,4.6,218.5,
20250320 09:25:14,280_380V_10A_6,199,687.5,10,2895,289.5,4.6,218.5,
20250320 09:25:15,280_380V_10A_6,199,687.6,9.99,2895,289.5,4.6,218.5,
20250320 09:25:15,280_380V_10A_6,199,688.3,9.99,2895,289.5,4.5,218.5,
20250320 09:25:16,280_380V_10A_6,198,687.4,9.99,2895,289.5,4.6,218.5,
20250320 09:25:16,280_380V_10A_6,197,687.4,9.99,2895,289.5,4.5,218.5,
20250320 09:25:17,280_380V_10A_6,198,687.5,10,2892,289.5,4.5,219,
20250320 09:25:17,280_380V_10A_6,177,686.2,10,2992,299.5,4.7,219,
