DateTime,Name,HV_SwitchingFreq_Rail1,VS_Bulk_HvDc,CS_Shunt_HVDC_R1,HV_OutPwr,VS_Vout_Sense_HVDC,MainsRMSCurrent,MainsRMSVoltage,
20250320 14:44:52,280_380V_5A_2,300,121.5,0.09,25,279.4,0,219,
20250320 14:44:54,280_380V_5A_2,300,120.8,0.09,25,279.4,0,219,
20250320 14:44:54,280_380V_5A_2,300,375.3,0.09,25,279.4,0.4,219,
20250320 14:44:55,280_380V_5A_2,300,634.1,0.09,25,279.4,0.4,219,
20250320 14:44:55,280_380V_5A_2,300,702.4,0.09,25,279.4,0.4,219,
20250320 14:44:56,280_380V_5A_2,300,685.4,1.39,432.5,279.1,1.2,218.5,
20250320 14:44:56,280_380V_5A_2,300,702,4.99,1396,279.6,2.3,218.5,
20250320 14:44:57,280_380V_5A_2,300,702.5,4.99,1401,279.5,2.3,219,
20250320 14:44:58,280_380V_5A_2,300,700.6,4.99,1397.5,278.9,2.3,219,
20250320 14:44:59,280_380V_5A_2,300,700.4,4.99,1395,279,2.3,219,
20250320 14:44:59,280_380V_5A_2,300,701,4.99,1395.5,279.9,2.3,219,
20250320 14:45:00,280_380V_5A_2,300,700.9,4.99,1394.5,279,2.3,219,
20250320 14:45:00,280_380V_5A_2,300,701.2,4.99,1394.5,279.7,2.3,219,
20250320 14:45:01,280_380V_5A_2,300,700.2,4.99,1446.5,289.4,2.3,219,
20250320 14:45:01,280_380V_5A_2,300,686.6,5,1449,289.7,2.4,219,
20250320 14:45:02,280_380V_5A_2,300,685.6,5,1445.5,289.8,2.4,219,
20250320 14:45:02,280_380V_5A_2,300,686.5,4.99,1444,288.9,2.4,219,
20250320 14:45:03,280_380V_5A_2,300,686.2,4.99,1442.5,289.1,2.4,218.5,
20250320 14:45:03,280_380V_5A_2,300,687.1,4.99,1445,289.9,2.4,218.5,
20250320 14:45:04,280_380V_5A_2,300,686.2,5,1448.5,289.7,2.4,218.5,
20250320 14:45:05,280_380V_5A_2,300,686.9,5,1448.5,289.6,2.4,218.5,
20250320 14:45:05,280_380V_5A_2,300,685.9,4.99,1448.5,289.6,2.4,218.5,
20250320 14:45:06,280_380V_5A_2,300,686.5,4.99,1448.5,289.7,2.3,219,
20250320 14:45:06,280_380V_5A_2,300,687.5,5,1493.5,299.3,2.4,219,
20250320 14:45:07,280_380V_5A_2,300,686.8,5,1493.5,299.7,2.4,219,
20250320 14:45:07,280_380V_5A_2,300,685.9,4.99,1498.5,299.6,2.4,219,
20250320 14:45:08,280_380V_5A_2,300,686.6,5,1497,299.4,2.4,219,
20250320 14:45:08,280_380V_5A_2,300,687.7,4.99,1498.5,299.5,2.4,219,
20250320 14:45:09,280_380V_5A_2,300,686.8,4.99,1498.5,299.5,2.3,219,
20250320 14:45:09,280_380V_5A_2,300,687.3,4.99,1495.5,299.5,2.4,219,
20250320 14:45:10,280_380V_5A_2,300,686.5,5,1498.5,299.7,2.4,219,
20250320 14:45:10,280_380V_5A_2,300,687.2,5,1499,299.4,2.4,218.5,
20250320 14:45:11,280_380V_5A_2,300,687.5,5,1546.5,309.3,2.5,218.5,
20250320 14:45:11,280_380V_5A_2,300,687.6,4.99,1546.5,309.5,2.5,218.5,
20250320 14:45:12,280_380V_5A_2,300,687.9,5,1547.5,309.5,2.4,218.5,
20250320 14:45:13,280_380V_5A_2,300,687.6,4.99,1543,309.4,2.5,218.5,
20250320 14:45:13,280_380V_5A_2,300,687.8,5,1547,309.4,2.5,219,
20250320 14:45:14,280_380V_5A_2,300,687.6,5,1547,309.3,2.5,219,
20250320 14:45:14,280_380V_5A_2,300,687.3,4.99,1547.5,309.5,2.5,219,
20250320 14:45:15,280_380V_5A_2,300,688.2,5,1546.5,309.4,2.5,219,
20250320 14:45:15,280_380V_5A_2,300,687.5,5,1547,309.3,2.5,219,
20250320 14:45:16,280_380V_5A_2,256,687.5,4.99,1596.5,319.3,2.6,219,
