DateTime,Name,HV_SwitchingFreq_Rail1,VS_Bulk_HvDc,CS_Shunt_HVDC_R1,HV_OutPwr,VS_Vout_Sense_HVDC,MainsRMSCurrent,MainsRMSVoltage,
20250320 09:42:26,280_380V_10A_8,300,51.3,0.09,25,279.4,0,219,
20250320 09:42:28,280_380V_10A_8,300,51.1,0.09,25,279.4,0,219,
20250320 09:42:29,280_380V_10A_8,300,51.1,0.09,25,279.4,0.2,219,
20250320 09:42:29,280_380V_10A_8,300,381.9,0.09,25,279.4,0.4,219,
20250320 09:42:30,280_380V_10A_8,300,598.9,0.09,25,279.4,0.5,219,
20250320 09:42:30,280_380V_10A_8,300,696.6,0.09,25,279.4,0.3,219,
20250320 09:42:31,280_380V_10A_8,300,702.6,0.09,25,279.4,0,219,
20250320 09:42:31,280_380V_10A_8,300,696.3,2.25,664,279.7,1.5,218.5,
20250320 09:42:32,280_380V_10A_8,230,698.8,9.97,2789,279.5,4.4,218.5,
20250320 09:42:32,280_380V_10A_8,231,702.4,9.99,2795,279.5,4.4,219,
20250320 09:42:33,280_380V_10A_8,232,702.5,9.99,2795,279.5,4.4,219,
20250320 09:42:33,280_380V_10A_8,233,702.8,9.99,2795,279.5,4.4,219,
20250320 09:42:34,280_380V_10A_8,231,702.8,9.99,2795,279.5,4.4,219,
20250320 09:42:34,280_380V_10A_8,231,703.2,10,2792,279.5,4.4,219,
20250320 09:42:35,280_380V_10A_8,233,703,10,2792,279.5,4.4,218.5,
20250320 09:42:35,280_380V_10A_8,232,702.2,9.99,2795,279.5,4.4,218.5,
20250320 09:42:36,280_380V_10A_8,233,702.1,9.99,2895,289.5,4.5,218.5,
20250320 09:42:36,280_380V_10A_8,199,687.5,9.99,2895,289.5,4.6,218.5,
20250320 09:42:37,280_380V_10A_8,197,687.9,9.99,2892,289.5,4.6,218.5,
20250320 09:42:37,280_380V_10A_8,197,687.8,9.99,2892,289.5,4.5,218.5,
20250320 09:42:38,280_380V_10A_8,197,688,10,2895,289.5,4.6,218.5,
20250320 09:42:38,280_380V_10A_8,197,687.5,10,2892,289.5,4.5,218.5,
20250320 09:42:39,280_380V_10A_8,199,687.6,10,2894,289.5,4.6,219,
20250320 09:42:39,280_380V_10A_8,198,687.6,9.99,2895,289.5,4.5,219,
20250320 09:42:40,280_380V_10A_8,198,687.2,9.99,2895,289.5,4.6,219,
20250320 09:42:40,280_380V_10A_8,198,687.1,9.99,2895,289.5,4.6,219,
20250320 09:42:41,280_380V_10A_8,176,686.4,9.99,2992,299.5,4.7,219,
20250320 09:42:41,280_380V_10A_8,178,688.1,10,2995,299.5,4.7,218.5,
20250320 09:42:42,280_380V_10A_8,178,687.6,9.99,2995,299.5,4.7,218.5,
20250320 09:42:42,280_380V_10A_8,178,687.2,9.99,2995,299.5,4.7,218.5,
20250320 09:42:43,280_380V_10A_8,179,687.2,10,2995,299.5,4.7,218.5,
