DateTime,Name,HV_SwitchingFreq_Rail1,VS_Bulk_HvDc,CS_Shunt_HVDC_R1,HV_OutPwr,VS_Vout_Sense_HVDC,MainsRMSCurrent,MainsRMSVoltage,
20250320 15:05:21,280_380V_5A_5,300,63.6,0.09,25,279.4,0,219,
20250320 15:05:23,280_380V_5A_5,300,63.3,0.09,25,279.4,0,219,
20250320 15:05:23,280_380V_5A_5,300,63.1,0.09,25,279.4,0,219,
20250320 15:05:24,280_380V_5A_5,300,359,0.09,25,279.5,0.3,218.5,
20250320 15:05:24,280_380V_5A_5,300,530.1,0.09,25,279.4,0.4,218.5,
20250320 15:05:25,280_380V_5A_5,300,686.9,0.09,25,279.4,0.3,219,
20250320 15:05:25,280_380V_5A_5,300,701.7,0.09,25,279.4,0.3,218.5,
20250320 15:05:26,280_380V_5A_5,300,693.5,4.81,1355,279.4,2.3,218.5,
20250320 15:05:26,280_380V_5A_5,300,686.2,4.99,1396,279.7,2.4,219,
20250320 15:05:27,280_380V_5A_5,300,686.4,5,1394.5,279.5,2.4,219,
20250320 15:05:27,280_380V_5A_5,300,685.8,5,1396,279.7,2.4,219,
20250320 15:05:28,280_380V_5A_5,300,686.1,5,1394,279.5,2.4,219,
20250320 15:05:29,280_380V_5A_5,300,686.4,4.99,1394,279.8,2.4,219,
20250320 15:05:29,280_380V_5A_5,300,686.4,5,1401.5,279.5,2.3,219,
20250320 15:05:30,280_380V_5A_5,300,686.2,4.99,1397.5,279.6,2.3,219,
20250320 15:05:30,280_380V_5A_5,300,686.8,5,1395.5,279.1,2.3,219,
20250320 15:05:31,280_380V_5A_5,300,685.9,4.99,1446,289.7,2.4,219,
20250320 15:05:31,280_380V_5A_5,300,687.3,5,1449,289.8,2.4,218.5,
20250320 15:05:32,280_380V_5A_5,300,686.7,4.99,1444,289,2.4,218.5,
20250320 15:05:33,280_380V_5A_5,300,685.7,4.99,1442.5,289.1,2.4,218.5,
20250320 15:05:33,280_380V_5A_5,300,686.2,4.99,1449.5,289.8,2.4,218.5,
20250320 15:05:34,280_380V_5A_5,300,686.7,5,1449,289.7,2.4,219,
20250320 15:05:34,280_380V_5A_5,300,685.9,4.99,1449.5,289.4,2.4,219,
20250320 15:05:35,280_380V_5A_5,300,687.1,4.99,1448.5,289.6,2.4,219,
20250320 15:05:35,280_380V_5A_5,300,686.6,5,1446,290.9,2.4,219,
20250320 15:05:36,280_380V_5A_5,300,686.8,5,1499,299.4,2.4,219,
20250320 15:05:36,280_380V_5A_5,300,686.9,5,1499.5,299.5,2.4,219,
